class,aspect_bucket,n_gt,fraction
overall,"[1,2)",821,0.31431852986217457
overall,"[2,4)",865,0.33116385911179175
overall,"[4,8)",440,0.16845329249617153
overall,"[8,16)",324,0.12404287901990811
overall,"[16,inf)",162,0.062021439509954056
LC,"[1,2)",323,0.5493197278911565
LC,"[2,4)",190,0.3231292517006803
LC,"[4,8)",57,0.09693877551020408
LC,"[8,16)",11,0.01870748299319728
LC,"[16,inf)",7,0.011904761904761904
TC,"[1,2)",16,0.03827751196172249
TC,"[2,4)",74,0.17703349282296652
TC,"[4,8)",92,0.22009569377990432
TC,"[8,16)",150,0.3588516746411483
TC,"[16,inf)",86,0.20574162679425836
AC,"[1,2)",102,0.4594594594594595
AC,"[2,4)",103,0.46396396396396394
AC,"[4,8)",15,0.06756756756756757
AC,"[8,16)",2,0.009009009009009009
AC,"[16,inf)",0,0.0
P,"[1,2)",48,0.41739130434782606
P,"[2,4)",61,0.5304347826086957
P,"[4,8)",6,0.05217391304347826
P,"[8,16)",0,0.0
P,"[16,inf)",0,0.0
MC,"[1,2)",16,0.03970223325062035
MC,"[2,4)",234,0.5806451612903226
MC,"[4,8)",152,0.3771712158808933
MC,"[8,16)",1,0.0024813895781637717
MC,"[16,inf)",0,0.0
LP,"[1,2)",311,0.5992292870905588
LP,"[2,4)",157,0.302504816955684
LP,"[4,8)",40,0.07707129094412331
LP,"[8,16)",11,0.02119460500963391
LP,"[16,inf)",0,0.0
TP,"[1,2)",5,0.01440922190201729
TP,"[2,4)",46,0.13256484149855907
TP,"[4,8)",78,0.22478386167146974
TP,"[8,16)",149,0.42939481268011526
TP,"[16,inf)",69,0.1988472622478386
