class,score_bucket,background_fp,all_fp,background_fraction_of_fp
overall,"[0.25,0.40)",264,1005,0.45671641791044776
overall,"[0.40,0.60)",123,1005,0.45671641791044776
overall,"[0.60,0.80)",55,1005,0.45671641791044776
overall,"[0.80,1.00]",17,1005,0.45671641791044776
LC,"[0.25,0.40)",71,229,0.5414847161572053
LC,"[0.40,0.60)",32,229,0.5414847161572053
LC,"[0.60,0.80)",16,229,0.5414847161572053
LC,"[0.80,1.00]",5,229,0.5414847161572053
TC,"[0.25,0.40)",30,192,0.3489583333333333
TC,"[0.40,0.60)",25,192,0.3489583333333333
TC,"[0.60,0.80)",9,192,0.3489583333333333
TC,"[0.80,1.00]",3,192,0.3489583333333333
AC,"[0.25,0.40)",16,72,0.4444444444444444
AC,"[0.40,0.60)",10,72,0.4444444444444444
AC,"[0.60,0.80)",3,72,0.4444444444444444
AC,"[0.80,1.00]",3,72,0.4444444444444444
P,"[0.25,0.40)",16,43,0.6744186046511628
P,"[0.40,0.60)",9,43,0.6744186046511628
P,"[0.60,0.80)",2,43,0.6744186046511628
P,"[0.80,1.00]",2,43,0.6744186046511628
MC,"[0.25,0.40)",72,146,0.7602739726027398
MC,"[0.40,0.60)",22,146,0.7602739726027398
MC,"[0.60,0.80)",14,146,0.7602739726027398
MC,"[0.80,1.00]",3,146,0.7602739726027398
LP,"[0.25,0.40)",31,184,0.30978260869565216
LP,"[0.40,0.60)",18,184,0.30978260869565216
LP,"[0.60,0.80)",7,184,0.30978260869565216
LP,"[0.80,1.00]",1,184,0.30978260869565216
TP,"[0.25,0.40)",28,139,0.2805755395683453
TP,"[0.40,0.60)",7,139,0.2805755395683453
TP,"[0.60,0.80)",4,139,0.2805755395683453
TP,"[0.80,1.00]",0,139,0.2805755395683453
