dimension,value,reason,count,fraction
overall,all,classification_mismatch,10,0.0038284839203675345
overall,all,confidence_filter_loss,40,0.015313935681470138
overall,all,final_localization_or_assignment,48,0.018376722817764167
overall,all,final_tp,2391,0.9153905053598775
overall,all,nms_or_maxdet_loss,26,0.009954058192955589
overall,all,raw_geometry_failure,97,0.03713629402756508
class,LC,classification_mismatch,3,0.00510204081632653
class,LC,confidence_filter_loss,16,0.027210884353741496
class,LC,final_localization_or_assignment,12,0.02040816326530612
class,LC,final_tp,541,0.9200680272108843
class,LC,nms_or_maxdet_loss,3,0.00510204081632653
class,LC,raw_geometry_failure,13,0.022108843537414966
class,TC,classification_mismatch,1,0.0023923444976076554
class,TC,confidence_filter_loss,4,0.009569377990430622
class,TC,final_localization_or_assignment,10,0.023923444976076555
class,TC,final_tp,381,0.9114832535885168
class,TC,nms_or_maxdet_loss,8,0.019138755980861243
class,TC,raw_geometry_failure,14,0.03349282296650718
class,AC,confidence_filter_loss,5,0.02252252252252252
class,AC,final_localization_or_assignment,4,0.018018018018018018
class,AC,final_tp,210,0.9459459459459459
class,AC,nms_or_maxdet_loss,2,0.009009009009009009
class,AC,raw_geometry_failure,1,0.0045045045045045045
class,P,classification_mismatch,1,0.008695652173913044
class,P,confidence_filter_loss,3,0.02608695652173913
class,P,final_localization_or_assignment,3,0.02608695652173913
class,P,final_tp,92,0.8
class,P,nms_or_maxdet_loss,1,0.008695652173913044
class,P,raw_geometry_failure,15,0.13043478260869565
class,MC,classification_mismatch,1,0.0024813895781637717
class,MC,confidence_filter_loss,1,0.0024813895781637717
class,MC,final_localization_or_assignment,5,0.01240694789081886
class,MC,final_tp,369,0.9156327543424317
class,MC,nms_or_maxdet_loss,4,0.009925558312655087
class,MC,raw_geometry_failure,23,0.05707196029776675
class,LP,classification_mismatch,2,0.0038535645472061657
class,LP,confidence_filter_loss,7,0.01348747591522158
class,LP,final_localization_or_assignment,10,0.019267822736030827
class,LP,final_tp,486,0.9364161849710982
class,LP,nms_or_maxdet_loss,2,0.0038535645472061657
class,LP,raw_geometry_failure,12,0.023121387283236993
class,TP,classification_mismatch,2,0.005763688760806916
class,TP,confidence_filter_loss,4,0.011527377521613832
class,TP,final_localization_or_assignment,4,0.011527377521613832
class,TP,final_tp,312,0.899135446685879
class,TP,nms_or_maxdet_loss,6,0.01729106628242075
class,TP,raw_geometry_failure,19,0.05475504322766571
aspect_bucket,"[1,2)",classification_mismatch,2,0.00243605359317905
aspect_bucket,"[1,2)",confidence_filter_loss,18,0.02192448233861145
aspect_bucket,"[1,2)",final_localization_or_assignment,18,0.02192448233861145
aspect_bucket,"[1,2)",final_tp,755,0.9196102314250914
aspect_bucket,"[1,2)",nms_or_maxdet_loss,3,0.0036540803897685747
aspect_bucket,"[1,2)",raw_geometry_failure,25,0.030450669914738125
aspect_bucket,"[2,4)",classification_mismatch,4,0.004624277456647399
aspect_bucket,"[2,4)",confidence_filter_loss,17,0.019653179190751446
aspect_bucket,"[2,4)",final_localization_or_assignment,14,0.016184971098265895
aspect_bucket,"[2,4)",final_tp,805,0.930635838150289
aspect_bucket,"[2,4)",nms_or_maxdet_loss,5,0.005780346820809248
aspect_bucket,"[2,4)",raw_geometry_failure,20,0.023121387283236993
aspect_bucket,"[4,8)",classification_mismatch,3,0.006818181818181818
aspect_bucket,"[4,8)",confidence_filter_loss,3,0.006818181818181818
aspect_bucket,"[4,8)",final_localization_or_assignment,12,0.02727272727272727
aspect_bucket,"[4,8)",final_tp,384,0.8727272727272727
aspect_bucket,"[4,8)",nms_or_maxdet_loss,9,0.020454545454545454
aspect_bucket,"[4,8)",raw_geometry_failure,29,0.0659090909090909
aspect_bucket,"[8,16)",classification_mismatch,1,0.0030864197530864196
aspect_bucket,"[8,16)",confidence_filter_loss,2,0.006172839506172839
aspect_bucket,"[8,16)",final_localization_or_assignment,3,0.009259259259259259
aspect_bucket,"[8,16)",final_tp,296,0.9135802469135802
aspect_bucket,"[8,16)",nms_or_maxdet_loss,6,0.018518518518518517
aspect_bucket,"[8,16)",raw_geometry_failure,16,0.04938271604938271
aspect_bucket,"[16,inf)",final_localization_or_assignment,1,0.006172839506172839
aspect_bucket,"[16,inf)",final_tp,151,0.9320987654320988
aspect_bucket,"[16,inf)",nms_or_maxdet_loss,3,0.018518518518518517
aspect_bucket,"[16,inf)",raw_geometry_failure,7,0.043209876543209874
coco_size,small,classification_mismatch,3,0.005474452554744526
coco_size,small,confidence_filter_loss,3,0.005474452554744526
coco_size,small,final_localization_or_assignment,9,0.016423357664233577
coco_size,small,final_tp,440,0.8029197080291971
coco_size,small,nms_or_maxdet_loss,13,0.023722627737226276
coco_size,small,raw_geometry_failure,80,0.145985401459854
coco_size,medium,classification_mismatch,7,0.007142857142857143
coco_size,medium,confidence_filter_loss,21,0.02142857142857143
coco_size,medium,final_localization_or_assignment,14,0.014285714285714285
coco_size,medium,final_tp,917,0.9357142857142857
coco_size,medium,nms_or_maxdet_loss,8,0.00816326530612245
coco_size,medium,raw_geometry_failure,13,0.013265306122448979
coco_size,large,confidence_filter_loss,16,0.014760147601476014
coco_size,large,final_localization_or_assignment,25,0.023062730627306273
coco_size,large,final_tp,1034,0.9538745387453874
coco_size,large,nms_or_maxdet_loss,5,0.004612546125461255
coco_size,large,raw_geometry_failure,4,0.0036900369003690036
area_quartile,Q1,classification_mismatch,4,0.006125574272588055
area_quartile,Q1,confidence_filter_loss,3,0.004594180704441042
area_quartile,Q1,final_localization_or_assignment,11,0.016845329249617153
area_quartile,Q1,final_tp,535,0.8192955589586524
area_quartile,Q1,nms_or_maxdet_loss,15,0.022970903522205207
area_quartile,Q1,raw_geometry_failure,85,0.13016845329249618
area_quartile,Q2,classification_mismatch,2,0.0030627871362940277
area_quartile,Q2,confidence_filter_loss,16,0.02450229709035222
area_quartile,Q2,final_localization_or_assignment,9,0.013782542113323124
area_quartile,Q2,final_tp,614,0.9402756508422665
area_quartile,Q2,nms_or_maxdet_loss,5,0.007656967840735069
area_quartile,Q2,raw_geometry_failure,7,0.010719754977029096
area_quartile,Q3,classification_mismatch,4,0.006125574272588055
area_quartile,Q3,confidence_filter_loss,12,0.018376722817764167
area_quartile,Q3,final_localization_or_assignment,14,0.021439509954058193
area_quartile,Q3,final_tp,615,0.9418070444104135
area_quartile,Q3,nms_or_maxdet_loss,5,0.007656967840735069
area_quartile,Q3,raw_geometry_failure,3,0.004594180704441042
area_quartile,Q4,confidence_filter_loss,9,0.013782542113323124
area_quartile,Q4,final_localization_or_assignment,14,0.021439509954058193
area_quartile,Q4,final_tp,627,0.9601837672281777
area_quartile,Q4,nms_or_maxdet_loss,1,0.0015313935681470138
area_quartile,Q4,raw_geometry_failure,2,0.0030627871362940277
