scope,error,count,fraction_of_decomposed_events
overall,TP,1759,0.4863146253801493
overall,background_false_positive,459,0.12690074647497926
overall,classification_error,92,0.02543544373790434
overall,duplicate_prediction,132,0.03649433231960188
overall,localization_error,322,0.08902405308266519
overall,missed_gt,853,0.23583079900470003
LC,TP,378,0.46266829865361075
LC,background_false_positive,124,0.15177478580171358
LC,classification_error,21,0.025703794369645042
LC,duplicate_prediction,22,0.02692778457772338
LC,localization_error,62,0.07588739290085679
LC,missed_gt,210,0.25703794369645044
TC,TP,250,0.4098360655737705
TC,background_false_positive,67,0.10983606557377049
TC,classification_error,23,0.03770491803278689
TC,duplicate_prediction,29,0.047540983606557376
TC,localization_error,73,0.11967213114754098
TC,missed_gt,168,0.2754098360655738
AC,TP,163,0.5544217687074829
AC,background_false_positive,32,0.10884353741496598
AC,classification_error,6,0.02040816326530612
AC,duplicate_prediction,8,0.027210884353741496
AC,localization_error,26,0.08843537414965986
AC,missed_gt,59,0.20068027210884354
P,TP,59,0.37341772151898733
P,background_false_positive,29,0.18354430379746836
P,classification_error,1,0.006329113924050633
P,duplicate_prediction,3,0.0189873417721519
P,localization_error,10,0.06329113924050633
P,missed_gt,56,0.35443037974683544
MC,TP,302,0.5500910746812386
MC,background_false_positive,111,0.20218579234972678
MC,classification_error,10,0.018214936247723135
MC,duplicate_prediction,10,0.018214936247723135
MC,localization_error,15,0.0273224043715847
MC,missed_gt,101,0.18397085610200364
LP,TP,391,0.5561877667140825
LP,background_false_positive,57,0.08108108108108109
LP,classification_error,19,0.02702702702702703
LP,duplicate_prediction,29,0.041251778093883355
LP,localization_error,79,0.112375533428165
LP,missed_gt,128,0.18207681365576103
TP,TP,216,0.4444444444444444
TP,background_false_positive,39,0.08024691358024691
TP,classification_error,12,0.024691358024691357
TP,duplicate_prediction,31,0.06378600823045268
TP,localization_error,57,0.11728395061728394
TP,missed_gt,131,0.26954732510288065
