category,class,image,gt_index,path
class_miss,TC,0100220000130820114033694J3_1294349400_482426300,3,figures/failure_cases/class_miss/01_0100220000130820114033694J3_1294349400_482426300_gt3.jpg
class_miss,TP,0900220012200318102119318HJ_1295035900_482796000,6,figures/failure_cases/class_miss/02_0900220012200318102119318HJ_1295035900_482796000_gt6.jpg
class_miss,TC,09002200011601101356197142L_1295631300_483450200,3,figures/failure_cases/class_miss/03_09002200011601101356197142L_1295631300_483450200_gt3.jpg
class_miss,TP,0900220012200316143833772HJ_1294208900_482794800,5,figures/failure_cases/class_miss/04_0900220012200316143833772HJ_1294208900_482794800_gt5.jpg
class_miss,TP,09002200121901201534112552L_1295814800_482057000,0,figures/failure_cases/class_miss/05_09002200121901201534112552L_1295814800_482057000_gt0.jpg
class_miss,TP,09002200121901201346498812L_1295278400_482206300,3,figures/failure_cases/class_miss/06_09002200121901201346498812L_1295278400_482206300_gt3.jpg
class_miss,TP,0900220012200307142413721HJ_1295926600_483674100,0,figures/failure_cases/class_miss/07_0900220012200307142413721HJ_1295926600_483674100_gt0.jpg
class_miss,TP,0900220012200307153208436HJ_1296031800_484124700,1,figures/failure_cases/class_miss/08_0900220012200307153208436HJ_1296031800_484124700_gt1.jpg
high_aspect_miss,TC,0100220000130820114033694J3_1294349400_482426300,3,figures/failure_cases/high_aspect_miss/01_0100220000130820114033694J3_1294349400_482426300_gt3.jpg
high_aspect_miss,TP,0900220012200318102119318HJ_1295035900_482796000,6,figures/failure_cases/high_aspect_miss/02_0900220012200318102119318HJ_1295035900_482796000_gt6.jpg
high_aspect_miss,TC,09002200011601101356197142L_1295631300_483450200,3,figures/failure_cases/high_aspect_miss/03_09002200011601101356197142L_1295631300_483450200_gt3.jpg
high_aspect_miss,TP,0900220012200316143833772HJ_1294208900_482794800,5,figures/failure_cases/high_aspect_miss/04_0900220012200316143833772HJ_1294208900_482794800_gt5.jpg
high_aspect_miss,TP,09002200121901201534112552L_1295814800_482057000,0,figures/failure_cases/high_aspect_miss/05_09002200121901201534112552L_1295814800_482057000_gt0.jpg
high_aspect_miss,TP,09002200121901201346498812L_1295278400_482206300,3,figures/failure_cases/high_aspect_miss/06_09002200121901201346498812L_1295278400_482206300_gt3.jpg
high_aspect_miss,TP,0900220012200307142413721HJ_1295926600_483674100,0,figures/failure_cases/high_aspect_miss/07_0900220012200307142413721HJ_1295926600_483674100_gt0.jpg
high_aspect_miss,TP,0900220012200307153208436HJ_1296031800_484124700,1,figures/failure_cases/high_aspect_miss/08_0900220012200307153208436HJ_1296031800_484124700_gt1.jpg
