dimension,value,level,n_gt,best_raw_level_count,best_raw_level_fraction,top_score_level_fraction,final_best_level_fraction
overall,all,P3,2612,1327,0.5080398162327718,0.42496171516079634,0.45673813169984684
overall,all,P4,2612,801,0.3066615620214395,0.35260336906584994,0.327718223583461
overall,all,P5,2612,484,0.18529862174578868,0.22166921898928024,0.21477794793261867
class,LC,P3,588,211,0.358843537414966,0.22448979591836735,0.25510204081632654
class,LC,P4,588,284,0.48299319727891155,0.5935374149659864,0.5612244897959183
class,LC,P5,588,93,0.15816326530612246,0.18197278911564627,0.1836734693877551
class,TC,P3,418,168,0.4019138755980861,0.2894736842105263,0.34688995215311
class,TC,P4,418,161,0.38516746411483255,0.430622009569378,0.40669856459330145
class,TC,P5,418,89,0.21291866028708134,0.2799043062200957,0.24641148325358853
class,AC,P3,222,16,0.07207207207207207,0.0045045045045045045,0.04504504504504504
class,AC,P4,222,53,0.23873873873873874,0.1891891891891892,0.13963963963963963
class,AC,P5,222,153,0.6891891891891891,0.8063063063063063,0.8153153153153153
class,P,P3,115,107,0.9304347826086956,0.9391304347826087,0.9304347826086956
class,P,P4,115,8,0.06956521739130435,0.06086956521739131,0.06956521739130435
class,P,P5,115,0,0.0,0.0,0.0
class,MC,P3,403,392,0.9727047146401985,1.0,1.0
class,MC,P4,403,11,0.02729528535980149,0.0,0.0
class,MC,P5,403,0,0.0,0.0,0.0
class,LP,P3,519,261,0.5028901734104047,0.42003853564547206,0.44701348747591524
class,LP,P4,519,198,0.3815028901734104,0.4373795761078998,0.41040462427745666
class,LP,P5,519,60,0.11560693641618497,0.14258188824662812,0.13872832369942195
class,TP,P3,347,172,0.4956772334293948,0.3659942363112392,0.4207492795389049
class,TP,P4,347,86,0.2478386167146974,0.33429394812680113,0.29971181556195964
class,TP,P5,347,89,0.2564841498559078,0.29394812680115273,0.27953890489913547
coco_size,small,P3,548,531,0.968978102189781,0.9726277372262774,0.9726277372262774
coco_size,small,P4,548,17,0.03102189781021898,0.023722627737226276,0.021897810218978103
coco_size,small,P5,548,0,0.0,0.0,0.0036496350364963502
coco_size,medium,P3,980,746,0.7612244897959184,0.5479591836734694,0.6571428571428571
coco_size,medium,P4,980,213,0.2173469387755102,0.4061224489795918,0.3163265306122449
coco_size,medium,P5,980,21,0.02142857142857143,0.04591836734693878,0.026530612244897958
coco_size,large,P3,1084,50,0.046125461254612546,0.03690036900369004,0.014760147601476014
coco_size,large,P4,1084,571,0.5267527675276753,0.470479704797048,0.492619926199262
coco_size,large,P5,1084,463,0.42712177121771217,0.492619926199262,0.49169741697416974
aspect_bucket,"[1,2)",P3,821,349,0.42509135200974424,0.3398294762484775,0.36784409257003653
aspect_bucket,"[1,2)",P4,821,291,0.35444579780755175,0.4007308160779537,0.3654080389768575
aspect_bucket,"[1,2)",P5,821,181,0.220462850182704,0.25943970767356883,0.26674786845310594
aspect_bucket,"[2,4)",P3,865,490,0.5664739884393064,0.4890173410404624,0.5202312138728323
aspect_bucket,"[2,4)",P4,865,254,0.29364161849710985,0.34104046242774566,0.3190751445086705
aspect_bucket,"[2,4)",P5,865,121,0.13988439306358383,0.1699421965317919,0.15838150289017341
aspect_bucket,"[4,8)",P3,440,291,0.6613636363636364,0.5659090909090909,0.6045454545454545
aspect_bucket,"[4,8)",P4,440,107,0.2431818181818182,0.3181818181818182,0.27045454545454545
aspect_bucket,"[4,8)",P5,440,42,0.09545454545454546,0.11363636363636363,0.125
aspect_bucket,"[8,16)",P3,324,116,0.35802469135802467,0.30246913580246915,0.3425925925925926
aspect_bucket,"[8,16)",P4,324,100,0.30864197530864196,0.28703703703703703,0.2932098765432099
aspect_bucket,"[8,16)",P5,324,108,0.3333333333333333,0.4104938271604938,0.36419753086419754
aspect_bucket,"[16,inf)",P3,162,81,0.5,0.3765432098765432,0.3950617283950617
aspect_bucket,"[16,inf)",P4,162,49,0.30246913580246915,0.3950617283950617,0.4074074074074074
aspect_bucket,"[16,inf)",P5,162,32,0.19753086419753085,0.2222222222222222,0.19753086419753085
