image,image_id,gt_index,class,box_original,area,coco_size,area_quartile,aspect_ratio,aspect_bucket,best_raw_iou,best_raw_correct_score,best_raw_predicted_class,best_raw_level,raw_good50,raw_good75,prefilter_good50,prefilter_good75,max_score_good50,max_score_good75,top_score_iou,top_score,top_score_level,final_best_correct_iou,final_best_correct_score,final_best_level,hit50,hit75,hit50_operating,confidence_survival50,nms_survival50,death_reason
01002200001307161252567115D_1297865600_483627000,6676,0,TC,"[364.000244140625, 648.9999389648438, 797.0007934570312, 670.9995727539062]",9525.853515423834,large,Q3,19.68217077920997,"[16,inf)",0.9207265973091125,0.19728748500347137,TC,P5,1,1,1,1,0.7344748973846436,0.7344748973846436,0.7514925003051758,0.7344748973846436,P4,0.8814549446105957,0.012062197551131248,P4,1,1,1,1,1,final_tp
01002200001307170910441615F_1293075300_485317800,6396,0,TC,"[1.0004913806915283, 661.000732421875, 929.00048828125, 724.0001831054688]",58463.490234375,large,Q4,14.730287168070003,"[8,16)",0.9202113747596741,0.12353070080280304,TC,P5,1,1,1,1,0.6331594586372375,0.421407550573349,0.533324122428894,0.6331594586372375,P5,0.8333172798156738,0.421407550573349,P5,1,1,1,1,1,final_tp
01002200001307170920130475F_1292908900_484816700,6397,0,TP,"[1.0004425048828125, 643.9998168945312, 424.9999694824219, 732.9996337890625]",37735.87890633941,large,Q4,4.7640492589013785,"[4,8)",0.9690098762512207,0.00034692816552706063,TC,P5,1,1,1,1,0.9275573492050171,0.9275573492050171,0.9531757831573486,0.9275573492050171,P5,0.9531757831573486,0.9275573492050171,P5,1,1,1,1,1,final_tp
01002200001307170923095005F_1292777600_484665900,6398,0,TP,"[304.9993896484375, 587.999755859375, 670.99951171875, 593.9994506835938]",2195.8890380486846,medium,Q2,61.00312312434511,"[16,inf)",0.59931880235672,0.01994248852133751,TP,P3,1,0,1,0,0.132874995470047,0.0,0.5180842876434326,0.132874995470047,P3,0.5551057457923889,0.05036786198616028,P3,1,0,0,0,1,final_tp
01002200001307201421130095F_1294394600_482815900,6399,0,TP,"[217.9999237060547, 681.9999389648438, 1023.99951171875, 761.9998779296875]",64479.91662600264,large,Q4,10.075002346040609,"[8,16)",0.9005631804466248,0.13562782108783722,TP,P5,1,1,1,1,0.8165990114212036,0.13562782108783722,0.5759584903717041,0.8165990114212036,P5,0.9005631804466248,0.13562782108783722,P5,1,1,1,1,1,final_tp
01002200001307201421130095F_1294394600_482815900,6399,1,LP,"[154.00039672851562, 694.0001220703125, 279.00006103515625, 816.00048828125]",15250.00482165441,large,Q3,1.0245843368250007,"[1,2)",0.9347277879714966,0.9517546892166138,LP,P4,1,1,1,1,0.9517546892166138,0.9517546892166138,0.9347277879714966,0.9517546892166138,P4,0.9347277879714966,0.9517546892166138,P4,1,1,1,1,1,final_tp
01002200001307201421130095F_1294394600_482815900,6399,2,LP,"[622.0001831054688, 534.000732421875, 657.9999389648438, 563.0003051757812]",1043.9775391668081,medium,Q1,1.2413891806225257,"[1,2)",0.7689266800880432,0.3742091655731201,LP,P3,1,1,1,1,0.780889093875885,0.4711030125617981,0.735004723072052,0.780889093875885,P3,0.735004723072052,0.780889093875885,P3,1,0,1,1,1,final_tp
0100220000130720154628082J1_1296954700_482760900,6501,0,LC,"[639.0005493164062, 588.9996948242188, 817.0004272460938, 798.9996337890625]",37379.96350098401,large,Q4,1.1797757470811117,"[1,2)",0.9609113931655884,0.7130298018455505,LC,P4,1,1,1,1,0.8534581065177917,0.8534581065177917,0.9300464391708374,0.8534581065177917,P5,0.9300464391708374,0.8534581065177917,P5,1,1,1,1,1,final_tp
0100220000130720154628082J1_1296954700_482760900,6501,1,MC,"[222.0006561279297, 709.99951171875, 317.0002136230469, 744.9999389648438]",3325.0251005189493,medium,Q2,2.7142399384773137,"[2,4)",0.9110339879989624,0.5410187840461731,MC,P3,1,1,1,1,0.8755094408988953,0.8755094408988953,0.8992908000946045,0.8755094408988953,P3,0.8992908000946045,0.8755094408988953,P3,1,1,1,1,1,final_tp
01002200001307201723534115D_1297082700_483317700,6677,0,TC,"[181.0001983642578, 600.9999389648438, 675.0003662109375, 625.00048828125]",11856.27575693652,large,Q3,20.582869858223663,"[16,inf)",0.8894487619400024,0.0752447172999382,TC,P4,1,1,1,1,0.6951448917388916,0.37317731976509094,0.7345513105392456,0.6951448917388916,P5,0.8858467936515808,0.09711455553770065,P4,1,1,1,1,1,final_tp
0100220000130722113707160J2_1297933800_483399600,6502,0,AC,"[303.0000915527344, 637.9996337890625, 603.0003662109375, 824.9994506835938]",56099.99642939307,large,Q4,1.6042811144965166,"[1,2)",0.8811875581741333,0.0004958903300575912,AC,P5,1,1,1,1,0.88155597448349,0.88155597448349,0.7740512490272522,0.88155597448349,P5,0.7740512490272522,0.88155597448349,P5,1,1,1,1,1,final_tp
