scope,kind,n_candidates,pearson,spearman,mean_top_score_iou,mean_best_iou,top_score_not_best_quality_rate,mean_best_minus_top_score_iou,quality_gap_gt005_rate,quality_gap_gt010_rate,high_iou_but_low_score_rate,mean_score
overall,summary,202384,0.4570456663193119,0.5047699258905408,0.6891260402017539,0.8331967561147753,0.9153905053598775,0.14407071591302137,0.5861408882082695,0.4234303215926493,0.2649310872894334,
LC,summary,54090,0.4354228179428044,0.48378933624592174,0.6929634499813424,0.8653550214406585,0.9693877551020408,0.17239157145931608,0.6462585034013606,0.4846938775510204,0.34183673469387754,
TC,summary,38307,0.4201407922312144,0.5008684973163747,0.6341382529604378,0.8187724386818671,0.9617224880382775,0.18463418572142934,0.7248803827751196,0.5645933014354066,0.3253588516746411,
AC,summary,22130,0.426784868484033,0.3860957629760002,0.7007691759515453,0.8830800167880617,0.9819819819819819,0.18231084083651636,0.6621621621621622,0.5135135135135135,0.33783783783783783,
P,summary,4661,0.4493130498556039,0.6310813674500528,0.6566093571808027,0.7485067252231681,0.7565217391304347,0.09189736804236537,0.4608695652173913,0.30434782608695654,0.2782608695652174,
MC,summary,13098,0.5749482496284589,0.6303538075287826,0.7233064460288502,0.788389366480612,0.7915632754342432,0.06508292045176177,0.38957816377171217,0.20843672456575682,0.1315136476426799,
LP,summary,41226,0.4888445987250774,0.511519917861023,0.7285750097736917,0.8559767592389689,0.8959537572254336,0.1274017494652772,0.5105973025048169,0.35260115606936415,0.19653179190751446,
TP,summary,28872,0.44300647013113414,0.49533468340100095,0.6534903680728561,0.8102000147877234,0.9510086455331412,0.15670964671486737,0.6512968299711815,0.48703170028818443,0.2680115273775216,
overall,"iou_[0.0,0.5)",137798,,,,,,,,,,0.009505130965044606
overall,"iou_[0.5,0.6)",16845,,,,,,,,,,0.04076310199421008
overall,"iou_[0.6,0.7)",13993,,,,,,,,,,0.06719089217412672
overall,"iou_[0.7,0.8)",12638,,,,,,,,,,0.1258921796042752
overall,"iou_[0.8,0.9)",12946,,,,,,,,,,0.2338421930476266
overall,"iou_[0.9,1.0]",8164,,,,,,,,,,0.36740226405796184
