seed,batch,hash,images,instances,instances_D00,instances_D10,instances_D20,instances_D40
20260823,0,886703586ffce1566642efa3528edf8bf420c0925651ae888df1adf072710d17,8,27,6,11,10,0
20260823,1,2a6bc5cbae2770f2ef1e8306a3806f5601b8e59e9d7cce214dc29219d96ecf10,8,31,10,5,11,5
20260823,2,a2bc40b1696e829db4e198594caa9d2c0539cd5454ab0301acbe1229f059b476,8,20,7,4,9,0
20260823,3,e07c1c00a84116748407ba9562508b567be535ceb684974e9c70405b37eda097,8,17,5,3,8,1
20260823,4,aebb281f8c5a342bc96208dae814f3fceb96b28b4c180382086623c0d6c23b4f,8,30,9,3,10,8
20260823,5,8e0e3fb15223ff04644b68ef88ac40dacd3d12281c3c25fc017b9c5e9508482d,8,29,13,3,9,4
20260823,6,334f79e24468133a4814f9bcc1ad52d87fcf4ccd83ce8a62073ff99c81b54eaf,8,37,10,13,13,1
20260823,7,4cffd353e7e306aaebfb783e40e9e05baabcb5e8900af458869ea4f4d3293421,8,24,7,4,10,3
20260823,8,9a9e818c03cf6b59f252a010c001516b61a837cff7c0a45a33324e5e3da2f928,8,26,11,5,5,5
20260823,9,7936e23f50a0735d5eecfc1973eab44248d15d7b1c60fca12b65c3f3ad89c533,8,22,7,9,6,0
20260823,10,a3c4b7957b7c11b073f1daa1e16883390b82c9915792752861bbb60388b3807f,8,22,7,4,6,5
20260823,11,1a50ac51658d5ba7bc54cdce02199aa8c5d6d07979efd6817b6007444dd0f941,8,27,7,7,7,6
20260823,12,a4534ce8b8156f22da77d962aa5685381556c24601b584a139224fe097731d2e,8,10,5,1,3,1
20260823,13,bebf1379a39279f25bf2470ca784661aff6818b4b2ece729feeecbe448c06b0a,8,32,5,8,15,4
20260823,14,a5027d0cd59953da796d4dea2969bf081ed8077a4b089ab997a63f25a61d4f65,8,14,5,1,5,3
20260823,15,97e557dc2e2ba54a9bf43e9ee0ceab14f58ba53dd8f70b1de2ba8002bd1b4024,8,22,7,7,8,0
20260823,16,765c81fe9136f77108d5a3192e09f930584736691268a02f9f4277315c467459,8,26,4,3,13,6
20260823,17,818c4a2cdd8fd7a454c6ebf5b64ab47888fd393095b89e325426239237aed862,8,15,4,0,11,0
20260823,18,9d33f9b80970a78760c50e7a00a3f75a106deb72dde43191034a7f3622269186,8,28,6,5,15,2
20260823,19,2a337a00f71b9d5b9e4f4820456a997dde9a26e2a8570d0031a4032304e5e290,8,22,7,2,11,2
20260823,20,416079114cddbd6704444b9e0affb7f2e5045d6c83762da189425d38df68e659,8,14,2,1,10,1
20260823,21,a0b7e0d587d81d840d751b4be2adc2060e7cdecb840ca465510a9bbe0ae50148,8,22,5,1,14,2
20260823,22,2297f487f0ecec69d9bb03ab1c1ab6462947f9be30d9f1404026cda7df27620b,8,24,6,2,11,5
20260823,23,bde13578b9281c4539c651383b60b4fb0bfefe18442c462348aed858a8942b34,8,32,3,7,18,4
20260823,24,9af470d40aa040f9f4f93f72a3dfeb98d56790738cccce74e880be9521001a33,8,32,5,8,15,4
20260823,25,6542ffe3661e0f2f2f4c6f405b5127dcd77840963b39b61cd6d0a59e03ed4389,8,26,5,8,12,1
20260823,26,d3630edb5cad7433911883c7c4c6d5fe7e5856e35b45f6a8bb6c8d5499c386f1,8,43,5,9,17,12
20260823,27,3708d434b5f52016554190e86c55f7d348fc1df0fd5af7c3b5cd80296ff25431,8,20,3,3,12,2
20260823,28,a98b1fcfc47c8cf2bad69c00d1f7c9b8bcef8312c34a4da3914256dbb3ec791e,8,37,3,10,18,6
20260823,29,2225223d7da6b47c0e6dcf38e16fd1007a3c71319a5a080ce19997478a3e9f8d,8,29,3,7,12,7
20260823,30,b04a9f5f8c8525ee7d89d5ab3951357bcb40fe551b1336bd27c9a1653c34a525,8,16,1,4,10,1
20260823,31,a97e08f577b4294fca98444b9e8371a1e6f50330c8c6f36739d4652e1115e800,8,27,7,6,8,6
