seed,checkpoint,batch,batch_hash,scope,instances_or_assigned_positives,box_loss,cls_loss,dfl_loss,loc_norm,cls_norm,cls_to_loc_norm_ratio,log10_cls_to_loc_ratio,cosine,conflict,finite
42,epoch5,0,886703586ffce1566642efa3528edf8bf420c0925651ae888df1adf072710d17,all,27,2.1491036415100098,1.947946310043335,0.019030779600143433,0.013928554952144623,0.011211314238607883,0.8049158205662708,-0.09424953649570242,0.353096604347229,0,1
42,epoch5,0,886703586ffce1566642efa3528edf8bf420c0925651ae888df1adf072710d17,D00,60,2.1491036415100098,1.947946310043335,0.019030779600143433,0.04754521697759628,0.031540077179670334,0.6633701386730928,-0.17824408195940952,0.7866698503494263,0,1
42,epoch5,0,886703586ffce1566642efa3528edf8bf420c0925651ae888df1adf072710d17,D10,106,2.1491036415100098,1.947946310043335,0.019030779600143433,0.016128284856677055,0.024781031534075737,1.5364951545865384,0.1865311950254286,-0.7617153525352478,1,1
42,epoch5,0,886703586ffce1566642efa3528edf8bf420c0925651ae888df1adf072710d17,D20,100,2.1491036415100098,1.947946310043335,0.019030779600143433,0.015021678991615772,0.005358161870390177,0.35669527177226934,-0.4477026474792025,-0.15875771641731262,1,1
42,epoch5,1,2a6bc5cbae2770f2ef1e8306a3806f5601b8e59e9d7cce214dc29219d96ecf10,all,31,2.3530030250549316,2.297785520553589,0.02130359224975109,0.007174561731517315,0.005580725613981485,0.7778489924291506,-0.10910470650669223,-0.1481947898864746,1,1
42,epoch5,1,2a6bc5cbae2770f2ef1e8306a3806f5601b8e59e9d7cce214dc29219d96ecf10,D00,94,2.3530030250549316,2.297785520553589,0.02130359224975109,0.01678471453487873,0.008149157278239727,0.4855106270235179,-0.31380125966501377,-0.1633865237236023,1,1
42,epoch5,1,2a6bc5cbae2770f2ef1e8306a3806f5601b8e59e9d7cce214dc29219d96ecf10,D10,38,2.3530030250549316,2.297785520553589,0.02130359224975109,0.007076739799231291,0.00641362089663744,0.9062959891974717,-0.0427299419680638,0.23906639218330383,0,1
42,epoch5,1,2a6bc5cbae2770f2ef1e8306a3806f5601b8e59e9d7cce214dc29219d96ecf10,D20,110,2.3530030250549316,2.297785520553589,0.02130359224975109,0.007913160137832165,0.00875743106007576,1.1066920051582434,0.04402677257572404,-0.015667255967855453,1,1
42,epoch5,1,2a6bc5cbae2770f2ef1e8306a3806f5601b8e59e9d7cce214dc29219d96ecf10,D40,28,2.3530030250549316,2.297785520553589,0.02130359224975109,0.0,0.00038507950375787914,,,,,1
42,epoch5,2,a2bc40b1696e829db4e198594caa9d2c0539cd5454ab0301acbe1229f059b476,all,20,1.9693629741668701,1.8480250835418701,0.02174924872815609,0.006975042633712292,0.00533390324562788,0.7647126370020543,-0.11650173296405399,-0.10563156753778458,1,1
42,epoch5,2,a2bc40b1696e829db4e198594caa9d2c0539cd5454ab0301acbe1229f059b476,D00,70,1.9693629741668701,1.8480250835418701,0.02174924872815609,0.011998056434094906,0.00782008096575737,0.6517789784297919,-0.18589965077355433,-0.4623229205608368,1,1
42,epoch5,2,a2bc40b1696e829db4e198594caa9d2c0539cd5454ab0301acbe1229f059b476,D10,40,1.9693629741668701,1.8480250835418701,0.02174924872815609,0.03421097248792648,0.02644593082368374,0.7730248192452543,-0.11180656211243771,0.031217457726597786,0,1
42,epoch5,2,a2bc40b1696e829db4e198594caa9d2c0539cd5454ab0301acbe1229f059b476,D20,90,1.9693629741668701,1.8480250835418701,0.02174924872815609,0.004783108364790678,0.003919443115592003,0.819434312725116,-0.08648585449664818,-0.20198318362236023,1,1
42,epoch5,3,e07c1c00a84116748407ba9562508b567be535ceb684974e9c70405b37eda097,all,17,1.6164073944091797,1.6117395162582397,0.01606789603829384,0.005874679423868656,0.004476488567888737,0.7619970801642197,-0.1180466927955661,-0.1909516453742981,1,1
42,epoch5,3,e07c1c00a84116748407ba9562508b567be535ceb684974e9c70405b37eda097,D00,50,1.6164073944091797,1.6117395162582397,0.01606789603829384,0.019291343167424202,0.013606873340904713,0.7053357157567746,-0.15160412443079596,-0.6780442595481873,1,1
42,epoch5,3,e07c1c00a84116748407ba9562508b567be535ceb684974e9c70405b37eda097,D10,30,1.6164073944091797,1.6117395162582397,0.01606789603829384,0.01674720086157322,0.009725313633680344,0.5807127838297602,-0.2360386132888531,-0.3589160740375519,1,1
