epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,120.406,2.34487,4.98496,1.89734,0.38382,0.01848,0.03045,0.01321,1.88483,3.90526,1.45811,0.000904165,0.000301388,0.000904165,0.000301388,0.000904165,0.000301388,0.000904165,0.000301388
2,187.413,2.02396,3.96506,1.50197,0.46778,0.28063,0.23315,0.1205,1.81379,2.67153,1.37081,0.00179521,0.000598405,0.00179521,0.000598405,0.00179521,0.000598405,0.00179521,0.000598405
3,242.212,1.97028,3.28861,1.44899,0.40241,0.32677,0.2839,0.1497,1.75842,2.3259,1.34983,0.00266827,0.000889422,0.00266827,0.000889422,0.00266827,0.000889422,0.00266827,0.000889422
4,299.006,1.88377,2.91215,1.43353,0.44483,0.35805,0.33137,0.17128,1.77805,2.11874,1.41312,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003,0.00264601,0.000882003
5,355.225,1.83175,2.68955,1.41487,0.44231,0.38673,0.36098,0.1858,1.72156,2.01239,1.38519,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004,0.00261901,0.000873004
6,410.508,1.7733,2.517,1.38879,0.53303,0.42509,0.43774,0.22626,1.63081,1.78697,1.34539,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004,0.00259201,0.000864004
7,466.192,1.73362,2.40669,1.37316,0.56027,0.4534,0.46835,0.2516,1.58475,1.74668,1.3056,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005,0.00256502,0.000855005
8,521.793,1.71388,2.35666,1.35925,0.55817,0.47147,0.48852,0.26233,1.5404,1.61512,1.26657,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006,0.00253802,0.000846006
9,577.994,1.66581,2.25588,1.34127,0.59941,0.47509,0.49034,0.26667,1.54027,1.64549,1.27175,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007,0.00251102,0.000837007
10,635.009,1.64841,2.20204,1.32456,0.60133,0.49713,0.52545,0.29361,1.50407,1.54567,1.25762,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008,0.00248402,0.000828008
11,690.102,1.64003,2.13989,1.32015,0.62809,0.4744,0.51011,0.27891,1.52261,1.57321,1.27304,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
12,745.865,1.62352,2.10125,1.30983,0.64154,0.50012,0.55396,0.31143,1.45959,1.47821,1.2447,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001,0.00243003,0.00081001
13,802.265,1.59985,2.04663,1.29888,0.60954,0.50447,0.53346,0.3023,1.46629,1.50339,1.23612,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011,0.00240303,0.000801011
14,856.491,1.59711,2.01105,1.29532,0.6216,0.4798,0.53119,0.29467,1.5258,1.52688,1.27563,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012,0.00237604,0.000792012
15,910.319,1.58626,1.96954,1.28928,0.64428,0.52502,0.55631,0.31685,1.46219,1.48068,1.2536,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013,0.00234904,0.000783013
16,966.426,1.58654,1.9437,1.28527,0.60371,0.53719,0.56069,0.31845,1.45157,1.43563,1.21527,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013,0.00232204,0.000774013
17,1021.73,1.56455,1.9157,1.27386,0.60856,0.52267,0.55564,0.30702,1.48118,1.45682,1.24487,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014,0.00229504,0.000765014
18,1075.69,1.55223,1.88316,1.27159,0.65227,0.54221,0.58559,0.32957,1.44672,1.42284,1.23689,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015,0.00226805,0.000756015
19,1130.54,1.54955,1.85009,1.27139,0.63545,0.54473,0.57949,0.33067,1.42322,1.39473,1.21631,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016,0.00224105,0.000747016
20,1186.79,1.54697,1.83792,1.26557,0.64538,0.56114,0.59486,0.33703,1.436,1.37574,1.21319,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017,0.00221405,0.000738017
21,1242,1.5372,1.79875,1.25774,0.6535,0.52305,0.57168,0.32672,1.43775,1.42142,1.22556,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
22,1297.25,1.52287,1.76855,1.25005,0.65834,0.52127,0.58207,0.33534,1.40775,1.3903,1.20956,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019,0.00216006,0.000720019
23,1352.32,1.5172,1.75777,1.25037,0.65233,0.53808,0.58833,0.33657,1.41001,1.37337,1.20416,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102,0.00213306,0.00071102
24,1411.81,1.51037,1.73118,1.24387,0.65651,0.53396,0.5784,0.3342,1.41329,1.37397,1.2028,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021,0.00210606,0.000702021
25,1466.62,1.50052,1.71689,1.24446,0.65117,0.55509,0.5897,0.33646,1.4029,1.35136,1.20671,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022,0.00207906,0.000693022
26,1522.79,1.4991,1.7076,1.23638,0.67202,0.53697,0.58702,0.33899,1.41427,1.3721,1.20996,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022,0.00205207,0.000684022
27,1576.81,1.49495,1.69177,1.23241,0.67305,0.54323,0.58383,0.33498,1.40176,1.37359,1.20725,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023,0.00202507,0.000675023
28,1633.5,1.4906,1.67971,1.23436,0.68089,0.56347,0.61892,0.35327,1.39778,1.29913,1.19065,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024,0.00199807,0.000666024
29,1688.49,1.4791,1.64259,1.2264,0.69594,0.55358,0.59723,0.34785,1.39351,1.33587,1.20776,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025,0.00197108,0.000657025
30,1743.91,1.48384,1.63804,1.22473,0.68476,0.57155,0.61514,0.35411,1.38666,1.31593,1.19491,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026,0.00194408,0.000648026
