group,stage,n_gt,n_images,mean,ci95_low,ci95_high
overall,P2,2612,1000,-0.005474189510297994,-0.010637202000609072,-0.0005875177682091459
overall,P3,2612,1000,0.09041701812884709,0.08425905078387672,0.09662679091101073
overall,P4,2612,1000,0.15730939519122403,0.15047030224438426,0.16421228408885588
small,P2,548,351,0.0821666351526323,0.07218884398528716,0.09199289887318503
small,P3,548,351,0.206437874340663,0.18994783718566044,0.2229984957255962
small,P4,548,351,0.20948488161946735,0.1927855403691972,0.22639931152944515
medium,P2,980,576,0.016270513954211255,0.00911516748601519,0.023066528838886668
medium,P3,980,576,0.12106626830538925,0.11248955352637835,0.1294941866086355
medium,P4,980,576,0.2268428864831827,0.21400622033520397,0.24030591073629207
large,P2,1084,782,-0.06943819440928772,-0.0755012864218539,-0.0632187220611888
large,P3,1084,782,0.004055676452568096,-0.0003544970527436802,0.008725439423058567
large,P4,1084,782,0.06807047634547048,0.06257768805967792,0.07361075061812888
elongated_ar_ge_5,P2,695,517,-0.043898335163541836,-0.05298308082572106,-0.03535552224896419
elongated_ar_ge_5,P3,695,517,0.03444189103387243,0.02715943140188553,0.04158007989262086
elongated_ar_ge_5,P4,695,517,0.10236965507912121,0.0928579964291623,0.11237816872809261
small_hit,P2,440,309,0.08994182368571108,0.07896789988284458,0.10103178526400235
small_hit,P3,440,309,0.23549327437173237,0.21653745839104063,0.25388982462753656
small_hit,P4,440,309,0.23468397340991282,0.21586873048129052,0.2545301039803309
small_nonhit,P2,108,92,0.050489941128978026,0.029670384948781985,0.07139147928729653
small_nonhit,P3,108,92,0.08806402236223221,0.06423730597440039,0.11286786270335852
small_nonhit,P4,108,92,0.1068219150658007,0.08242643047291953,0.1332179493354816
small_localization_error,P2,104,89,0.05172582572469345,0.030516693327042974,0.07378011141530545
small_localization_error,P3,104,89,0.08955312205048707,0.06518034804537849,0.11476337852575563
small_localization_error,P4,104,89,0.1087713917860618,0.08337089160678686,0.1375791076918443
small_complete_miss,P2,1,1,0.08306884765625,0.08306884765625,0.08306884765625
small_complete_miss,P3,1,1,0.030518651008605957,0.030518651008605957,0.030518651008605957
small_complete_miss,P4,1,1,0.04109466075897217,0.04109466075897217,0.04109466075897217
elongated_hit,P2,623,493,-0.04733210969507025,-0.05661019802491264,-0.03801760297021483
elongated_hit,P3,623,493,0.03546859111104693,0.027674178235192116,0.043407389062400964
elongated_hit,P4,623,493,0.10306910340514268,0.09323201281509694,0.11299048544290494
elongated_nonhit,P2,72,64,-0.014186647203233507,-0.03442505311845623,0.005592756810488158
elongated_nonhit,P3,72,64,0.025558083421654172,0.004873015856520731,0.04817094456408583
elongated_nonhit,P4,72,64,0.09631748414701885,0.06191786969044574,0.13352116901041935
class:LC,P2,588,420,-0.00502815406744172,-0.013656002279317882,0.0038370412937508824
class:LC,P3,588,420,0.06139783034113799,0.05173390302854624,0.07158490319546464
class:LC,P4,588,420,0.0959959582102542,0.08700424187515736,0.10558138696740002
class:TC,P2,418,307,-0.0691517644949507,-0.07875990003957431,-0.05980490843435003
class:TC,P3,418,307,0.01966614115751531,0.012157955305397346,0.02729149192211822
class:TC,P4,418,307,0.0826718061449425,0.07129543464808691,0.09368293248007971
class:AC,P2,222,189,-0.09741835672039169,-0.11149821956941809,-0.0835508594152653
class:AC,P3,222,189,-0.012219244295412355,-0.023016393347193364,-0.0012691954560869548
class:AC,P4,222,189,0.07249670388462308,0.06026095594945688,0.08536315170330785
class:P,P2,115,80,0.1266866888688958,0.10857323063454219,0.1452649759002153
class:P,P3,115,80,0.25568658113479614,0.22095953052934775,0.2919686912903259
class:P,P4,115,80,0.2922768261121667,0.2527797869582107,0.3344823949983662
class:MC,P2,403,269,0.059474284240684794,0.05025892371693255,0.06892958949264139
class:MC,P3,403,269,0.20075908414187563,0.18230129729610742,0.21901043099211273
class:MC,P4,403,269,0.3059241230375418,0.28331945888755333,0.32977888894771457
class:LP,P2,519,286,0.035508220997389574,0.022390085122541828,0.048529154420428676
class:LP,P3,519,286,0.1289085436877947,0.11360289519480471,0.14446624933499855
class:LP,P4,519,286,0.19057032092687942,0.17448845102945154,0.2073022933459883
class:TP,P2,347,221,-0.051226478746370215,-0.06439845062788502,-0.03743214886837926
class:TP,P3,347,221,0.04998890613272829,0.03804707768106321,0.062133094176479754
class:TP,P4,347,221,0.13830023179480253,0.12236404424825308,0.15501023520348944
