image,gt_index,class,size,aspect_ratio,elongated,outcome,best_raw_iou,top_score_iou,P2_target_response,P2_ring_response,P2_contrast,P3_target_response,P3_ring_response,P3_contrast,P4_target_response,P4_ring_response,P4_contrast
01002200001307161252567115D_1297865600_483627000,0,TC,large,19.68217077920997,1,hit,0.9207265973091125,0.7514925003051758,0.5737470388412476,0.5467707514762878,0.026976287364959717,0.5711663365364075,0.4773762822151184,0.09379005432128906,0.6545141935348511,0.6152967810630798,0.03921741247177124
01002200001307170910441615F_1293075300_485317800,0,TC,large,14.730287168070003,1,hit,0.9202113747596741,0.533324122428894,0.5418472290039062,0.716457188129425,-0.1746099591255188,0.51093989610672,0.5739375948905945,-0.06299769878387451,0.5058491230010986,0.5741249918937683,-0.06827586889266968
01002200001307170920130475F_1292908900_484816700,0,TP,large,4.7640492589013785,0,hit,0.9690098762512207,0.9531757831573486,0.6244213581085205,0.6428894400596619,-0.018468081951141357,0.5551760792732239,0.48277702927589417,0.07239904999732971,0.7415087819099426,0.5657517910003662,0.17575699090957642
01002200001307170923095005F_1292777600_484665900,0,TP,medium,61.00312312434511,1,hit,0.59931880235672,0.5180842876434326,0.5872926712036133,0.6403435468673706,-0.053050875663757324,0.5768005847930908,0.6093719601631165,-0.032571375370025635,0.7669350504875183,0.5975265502929688,0.16940850019454956
01002200001307201421130095F_1294394600_482815900,0,TP,large,10.075002346040609,1,hit,0.9005631804466248,0.5759584903717041,0.5890286564826965,0.7441228032112122,-0.15509414672851562,0.5623157620429993,0.5316691994667053,0.030646562576293945,0.5974976420402527,0.5595335364341736,0.0379641056060791
01002200001307201421130095F_1294394600_482815900,1,LP,large,1.0245843368250007,0,hit,0.9347277879714966,0.9347277879714966,0.6600359082221985,0.47248679399490356,0.18754911422729492,0.5455058217048645,0.47824594378471375,0.06725987792015076,0.7618356347084045,0.5139591097831726,0.24787652492523193
01002200001307201421130095F_1294394600_482815900,2,LP,medium,1.2413891806225257,0,hit,0.7689266800880432,0.735004723072052,0.7659883499145508,0.7057417035102844,0.06024664640426636,0.9005508422851562,0.6014467477798462,0.29910409450531006,1.013812780380249,0.7200865149497986,0.29372626543045044
0100220000130720154628082J1_1296954700_482760900,0,LC,large,1.1797757470811117,0,hit,0.9609113931655884,0.9300464391708374,0.5555064082145691,0.49043798446655273,0.06506842374801636,0.5290749669075012,0.5116463899612427,0.017428576946258545,0.6624515652656555,0.5863959193229675,0.07605564594268799
0100220000130720154628082J1_1296954700_482760900,1,MC,medium,2.7142399384773137,0,hit,0.9110339879989624,0.8992908000946045,0.7035132646560669,0.6336982846260071,0.06981498003005981,0.6795961856842041,0.5173966288566589,0.16219955682754517,1.3619482517242432,0.6278348565101624,0.7341133952140808
01002200001307201723534115D_1297082700_483317700,0,TC,large,20.582869858223663,1,hit,0.8894487619400024,0.7345513105392456,0.44979211688041687,0.5757262706756592,-0.1259341537952423,0.5728194117546082,0.5717941522598267,0.0010252594947814941,0.7083395719528198,0.6422024965286255,0.06613707542419434
0100220000130722113707160J2_1297933800_483399600,0,AC,large,1.6042811144965166,0,hit,0.8811875581741333,0.7740512490272522,0.4859640896320343,0.55186527967453,-0.06590119004249573,0.5021374225616455,0.5362491011619568,-0.03411167860031128,0.6843686699867249,0.6014519929885864,0.08291667699813843
0100220000130722113819787J2_1297979000_483415300,0,AC,large,1.2827269107567867,0,hit,0.9424057006835938,0.5213699340820312,0.501397430896759,0.5684846043586731,-0.06708717346191406,0.5322758555412292,0.5541986227035522,-0.021922767162322998,0.6664842963218689,0.6498370170593262,0.016647279262542725
0100220000130722113819787J2_1297979000_483415300,1,P,small,1.4999618539974469,0,hit,0.8174232840538025,0.8118100762367249,0.6386032104492188,0.5157529711723328,0.12285023927688599,0.9528023600578308,0.5860370993614197,0.36676526069641113,1.1540660858154297,0.9563503265380859,0.19771575927734375
0100220000130722114233557J2_1298116400_483498500,0,LC,large,1.3177550835020715,0,hit,0.783816933631897,0.43841129541397095,0.5314372181892395,0.5476635098457336,-0.01622629165649414,0.5688077807426453,0.5438113212585449,0.024996459484100342,0.7294245958328247,0.5939666628837585,0.13545793294906616
0100220000130722121801155J2_1298283000_483397000,0,LC,medium,7.30759019273904,1,hit,0.8937658071517944,0.8937658071517944,0.560925304889679,0.4369420111179352,0.12398329377174377,0.8228345513343811,0.4599170684814453,0.3629174828529358,0.9377623796463013,0.5695622563362122,0.3682001233100891
0100220000130722122333629J2_1298070200_483499000,0,TC,large,16.666775174346977,1,hit,0.8633826971054077,0.3217298090457916,0.5914360880851746,0.5412229895591736,0.05021309852600098,0.6965958476066589,0.5077706575393677,0.18882519006729126,0.879291832447052,0.5966873168945312,0.28260451555252075
0100220000130722122333629J2_1298070200_483499000,1,AC,large,2.573530058549029,0,hit,0.9340727925300598,0.5567886233329773,0.5385760068893433,0.4957497715950012,0.04282623529434204,0.5973188877105713,0.4541414678096771,0.14317741990089417,0.9197089076042175,0.6309134364128113,0.28879547119140625
0100220000130723120108427J3_1293800600_482811400,0,TP,medium,12.080125294192326,1,hit,0.8589386940002441,0.5051596164703369,0.4712946116924286,0.5798624157905579,-0.10856780409812927,0.5520079731941223,0.49229249358177185,0.059715479612350464,0.7492192983627319,0.6076568961143494,0.14156240224838257
0100220000130723120108427J3_1293800600_482811400,1,LP,large,3.3826941509081374,0,hit,0.6588444709777832,0.14717872440814972,0.5424718856811523,0.5605603456497192,-0.018088459968566895,0.5774248242378235,0.5334979891777039,0.04392683506011963,0.7004070281982422,0.6063560247421265,0.09405100345611572
01002200001307231607446815S_1293803300_483588000,0,LP,small,3.555627894990268,0,localization_error,0.19990329444408417,0.17235277593135834,0.6687823534011841,0.5414851903915405,0.12729716300964355,0.8740412592887878,0.5542570352554321,0.3197842240333557,1.1466976404190063,0.8886070251464844,0.258090615272522
0100220000130724084104327J2_1298284600_482948500,0,AC,large,1.4511300778701794,0,hit,0.8543400168418884,0.7073565125465393,0.6752617359161377,0.5195860266685486,0.1556757092475891,0.4921814203262329,0.449605792760849,0.04257562756538391,0.6667779088020325,0.5394643545150757,0.1273135542869568
01002200001307240855313305B_1294527100_484286400,0,LC,large,1.5744726072641548,0,hit,0.9424232244491577,0.898882269859314,0.6109356880187988,0.5523473620414734,0.05858832597732544,0.5412445068359375,0.5436778664588928,-0.0024333596229553223,0.6416661739349365,0.5275339484214783,0.11413222551345825
01002200001307240855313305B_1294527100_484286400,1,TC,medium,19.333873848945892,1,hit,0.8242279291152954,0.6454606652259827,0.4987996518611908,0.5920608043670654,-0.09326115250587463,0.5471578240394592,0.5147721171379089,0.03238570690155029,0.6856972575187683,0.6844992637634277,0.0011979937553405762
0100220000130724085905001J2_1298104600_483354700,0,LC,large,2.114293287667172,0,hit,0.9311397075653076,0.8500561714172363,0.5054308176040649,0.4674752652645111,0.03795555233955383,0.5824175477027893,0.5071669816970825,0.07525056600570679,0.6284613013267517,0.5557727217674255,0.07268857955932617
