group,stage,n_gt,auc,balanced_accuracy,paired_accuracy,margin
overall,P2,2612,0.8276861241202695,0.739854517611026,0.9039050535987749,7.46339402104775
overall,P3,2612,0.8478928094857285,0.7545941807044411,0.9383614088820827,16.748683525255068
overall,P4,2612,0.8669137201606908,0.7733537519142419,0.975114854517611,15.14475838981489
small,P2,548,0.8885229633970909,0.8093065693430657,0.9197080291970803,14.810474403855139
small,P3,548,0.915249214129682,0.8220802919708029,0.958029197080292,27.415046083992415
small,P4,548,0.7875985667856572,0.7381386861313869,0.927007299270073,10.164292189924822
medium,P2,980,0.7977124114952103,0.7178571428571429,0.8877551020408163,5.432732302695513
medium,P3,980,0.8925229071220325,0.8040816326530613,0.9306122448979591,24.558900903499858
medium,P4,980,0.9250249895876718,0.8459183673469388,0.9734693877551021,23.067808243419442
large,P2,1084,0.9267413638158521,0.8357933579335793,0.9566420664206642,19.159090615479048
large,P3,1084,0.9531503179422938,0.8777675276752768,0.9843173431734318,31.240309769899422
large,P4,1084,0.980209453847306,0.9261992619926199,0.9981549815498155,41.473131578786784
elongated_ar_ge_5,P2,695,0.8849997412142229,0.7899280575539569,0.9035971223021583,11.574165357188354
elongated_ar_ge_5,P3,695,0.9336162724496662,0.8546762589928059,0.9640287769784173,20.47672830009632
elongated_ar_ge_5,P4,695,0.9384648827700429,0.8582733812949641,0.9669064748201439,28.42926702216375
small_hit,P2,440,0.9072727272727272,0.8284090909090909,0.9431818181818182,18.10559069162065
small_hit,P3,440,0.9414669421487604,0.8556818181818182,0.9704545454545455,35.20277640684085
small_hit,P4,440,0.8241787190082644,0.7693181818181818,0.9295454545454546,13.364990089393475
small_nonhit,P2,108,0.8022119341563786,0.7361111111111112,0.8518518518518519,6.649268486157611
small_nonhit,P3,108,0.7950960219478738,0.7083333333333333,0.9351851851851852,7.428542622813472
small_nonhit,P4,108,0.6522205075445816,0.6203703703703705,0.8888888888888888,2.766292229294777
small_localization_error,P2,104,0.7949334319526628,0.7211538461538463,0.8557692307692307,6.461643031296822
small_localization_error,P3,104,0.7925295857988166,0.7259615384615385,0.9423076923076923,7.329184710692901
small_localization_error,P4,104,0.6515347633136095,0.6201923076923077,0.8846153846153846,2.7950850755262833
small_complete_miss,P2,1,,,,
small_complete_miss,P3,1,,,,
small_complete_miss,P4,1,,,,
elongated_hit,P2,623,0.8999353307791997,0.804975922953451,0.9165329052969502,12.87598140535347
elongated_hit,P3,623,0.9527528218710789,0.8796147672552167,0.9775280898876404,23.730903026619462
elongated_hit,P4,623,0.9577975363860984,0.8780096308186196,0.9743178170144462,34.296594255712975
elongated_nonhit,P2,72,0.8036265432098766,0.7430555555555556,0.875,7.073937846140729
elongated_nonhit,P3,72,0.753858024691358,0.6875,0.9444444444444444,7.9198253274791774
elongated_nonhit,P4,72,0.7544367283950617,0.6805555555555556,0.9166666666666666,7.885848252309693
class:LC,P2,588,0.8469995140913509,0.782312925170068,0.9336734693877551,12.159393000815596
class:LC,P3,588,0.9257572076449627,0.842687074829932,0.9591836734693877,31.715866683443792
class:LC,P4,588,0.9444574598546902,0.8596938775510203,0.9863945578231292,32.871578487611956
class:TC,P2,418,0.9283155147546989,0.8421052631578947,0.9521531100478469,18.22275241888596
class:TC,P3,418,0.9675831597261968,0.8935406698564593,0.9880382775119617,34.32894383613287
class:TC,P4,418,0.9775875094434652,0.9090909090909091,0.9880382775119617,50.54113126656655
class:AC,P2,222,0.9551172794416037,0.8468468468468469,0.9819819819819819,34.19210942639961
class:AC,P3,222,0.9578362145929713,0.8716216216216217,0.9819819819819819,62.7762621010209
class:AC,P4,222,0.9934055677298921,0.963963963963964,1.0,77.90084908298545
class:P,P2,115,0.9629489603024575,0.9043478260869565,0.991304347826087,48.75931661336318
class:P,P3,115,0.9539508506616257,0.8869565217391304,1.0,63.844578606149426
class:P,P4,115,0.93882797731569,0.8652173913043478,0.9826086956521739,33.55175638406173
class:MC,P2,403,0.8890825015855033,0.8076923076923077,0.9528535980148883,17.964623809896096
class:MC,P3,403,0.9545222247535543,0.8734491315136477,0.9826302729528535,45.20772556742427
class:MC,P4,403,0.9048205456594154,0.8461538461538463,0.9776674937965261,36.07401983717239
class:LP,P2,519,0.8368063676627278,0.770712909441233,0.9171483622350675,9.836899615379197
class:LP,P3,519,0.8923526419934585,0.7967244701348748,0.9633911368015414,26.450783849910962
class:LP,P4,519,0.9106366548980735,0.8121387283236994,0.9826589595375722,29.264351116094975
class:TP,P2,347,0.9147405924806286,0.829971181556196,0.9567723342939481,17.24945294899968
class:TP,P3,347,0.950535258992268,0.8746397694524496,0.9913544668587896,28.605427795511158
class:TP,P4,347,0.9575447018080044,0.8919308357348703,0.9971181556195965,41.3349516668306
