group,transition,n_gt,n_images,mean,ci95_low,ci95_high
overall,P2_to_P3,2612,1000,0.09589120763914509,0.09131074695901363,0.10063165086648754
overall,P3_to_P4,2612,1000,0.06689237706237694,0.061187739147945445,0.07262007202055422
small,P2_to_P3,548,351,0.1242712391880307,0.11021614227823177,0.13817199127291796
small,P3_to_P4,548,351,0.0030470072788043616,-0.014631939315361789,0.02059201560520297
medium,P2_to_P3,980,576,0.104795754351178,0.09752994604098034,0.11210462842096816
medium,P3_to_P4,980,576,0.10577661817779346,0.09569849261069223,0.11618778507111104
large,P2_to_P3,1084,782,0.07349387086185583,0.06825460924326548,0.0785041668229516
large,P3_to_P4,1084,782,0.06401479989290237,0.05924967564092826,0.06888595106200729
elongated_ar_ge_5,P2_to_P3,695,517,0.07834022619741426,0.07093840121103014,0.08578275327515675
elongated_ar_ge_5,P3_to_P4,695,517,0.06792776404524879,0.05890616523460787,0.07666018611268305
small_hit,P2_to_P3,440,309,0.1455514506860213,0.12960553246527354,0.1613721721748128
small_hit,P3_to_P4,440,309,-0.000809300961819562,-0.0206495915647243,0.019825520160765445
small_nonhit,P2_to_P3,108,92,0.03757408123325418,0.013415898657119549,0.06197738645145552
small_nonhit,P3_to_P4,108,92,0.018757892703568493,-0.011154298994871054,0.05091327957707365
small_localization_error,P2_to_P3,104,89,0.03782729632579363,0.013409612821254243,0.0628850446164029
small_localization_error,P3_to_P4,104,89,0.019218269735574722,-0.012751076483956493,0.05216439690958863
small_complete_miss,P2_to_P3,1,1,-0.05255019664764404,-0.05255019664764404,-0.05255019664764404
small_complete_miss,P3_to_P4,1,1,0.010576009750366211,0.010576009750366211,0.010576009750366211
elongated_hit,P2_to_P3,623,493,0.08280070080611718,0.07521440578519292,0.09039170112473334
elongated_hit,P3_to_P4,623,493,0.06760051229409575,0.058792226016886585,0.076630513024998
elongated_nonhit,P2_to_P3,72,64,0.039744730624887675,0.014359321492780453,0.06545492645133942
elongated_nonhit,P3_to_P4,72,64,0.07075940072536469,0.03364846786160184,0.11204075964554638
class:LC,P2_to_P3,588,420,0.06642598440857972,0.05841441032293147,0.0740601028316904
class:LC,P3_to_P4,588,420,0.03459812786911621,0.02663711533025922,0.042657776621763996
class:TC,P2_to_P3,418,307,0.088817905652466,0.0798478327553896,0.0975603460476624
class:TC,P3_to_P4,418,307,0.0630056649874272,0.05325611432931618,0.07235512063948961
class:AC,P2_to_P3,222,189,0.08519911242497934,0.07406158633665605,0.09631457831835498
class:AC,P3_to_P4,222,189,0.08471594818003543,0.07640086112531108,0.09352983426864571
class:P,P2_to_P3,115,80,0.12899989226590033,0.09837610318807535,0.16106485373712162
class:P,P3_to_P4,115,80,0.036590244977370553,-0.008949948531800936,0.08329118737087643
class:MC,P2_to_P3,403,269,0.14128479990119083,0.125215469263467,0.1581474668361256
class:MC,P3_to_P4,403,269,0.10516503889566615,0.08459736459739449,0.12617449334536593
class:LP,P2_to_P3,519,286,0.09340032269040514,0.08296633951880639,0.10369786200460752
class:LP,P3_to_P4,519,286,0.061661777239084704,0.04761615248231234,0.07520611012035784
class:TP,P2_to_P3,347,221,0.10121538487909851,0.08944934713607207,0.1128609941980669
class:TP,P3_to_P4,347,221,0.08831132566207424,0.07306995117554918,0.10418562280544108
