dimension,value,positive_candidates,unique_gt,mean_iou,median_iou,iou50_rate,iou75_rate,mean_pred_score,mean_target_score,pred_score_iou_pearson,pred_score_iou_spearman,target_score_iou_spearman,dfl_peak_mean_iou_pearson,dfl_peak_mean_iou_spearman,dfl_peak_mean_partial_pearson,dfl_margin_mean_iou_pearson,dfl_margin_mean_iou_spearman,dfl_margin_mean_partial_pearson,dfl_neg_entropy_mean_iou_pearson,dfl_neg_entropy_mean_iou_spearman,dfl_neg_entropy_mean_partial_pearson,dfl_neg_variance_mean_iou_pearson,dfl_neg_variance_mean_iou_spearman,dfl_neg_variance_mean_partial_pearson
overall,all,23825,2612,0.7433928275167265,0.7995241284370422,0.8834417628541448,0.6026442812172088,0.29318986338857606,0.4790014704619464,0.4549734047099265,0.5329734540925302,0.7048942939874654,0.33992166543745556,0.3732575993192009,0.36977581438616697,0.23271072880039906,0.2769663564568158,0.23401648531183428,0.39890935616500234,0.42746479505171847,0.4830672962622162,0.358001512369663,0.44524220484328414,0.363440167796426
level,P3,9700,1590,0.6761068738468913,0.7227974832057953,0.801340206185567,0.44804123711340205,0.19424992835451205,0.38612851652579094,0.4377262012310715,0.522550500643103,0.7319274394359027,0.2527770072661743,0.27996737009522843,0.4019096698971598,0.1357658833041878,0.17281684844670245,0.25118511531611654,0.31886333234090575,0.3349345573057264,0.5048280090149239,0.3106704689649569,0.38751176061160647,0.3786213511905609
level,P4,8954,1846,0.7679978745579643,0.8231519758701324,0.9184721911994639,0.6655126200580747,0.3270668483568319,0.5129803131221683,0.4212913973915312,0.4937867701589858,0.6702921644496519,0.3225560720957388,0.3497405242613376,0.3783217819459625,0.22338772341336724,0.2486814864978494,0.24887648007641355,0.3894905074661089,0.42806820210675894,0.5061641191295002,0.35758519917393367,0.4581548628779469,0.37057283757388093
level,P5,5171,833,0.827005312411362,0.8682339191436768,0.976793656932895,0.7837942370914717,0.42012524270102186,0.5943797524192235,0.325005906510046,0.36003224174307674,0.5844236657430013,0.338928023202065,0.3697086718596182,0.32796987587727494,0.271262542226171,0.30361370190343406,0.24361348782993208,0.4064774689761275,0.4525660699952161,0.439461371251439,0.3397000137205738,0.44740330776068915,0.33749129590397065
size,small,3361,548,0.5174823867558753,0.5364370346069336,0.542100565307944,0.21957750669443618,0.1496162187927278,0.26594002252288007,0.5329023295394693,0.6340790101307148,0.8217242134399383,0.4396202604735429,0.3801090141929911,0.49483091616142433,0.2714284698465516,0.2382118768601503,0.3333564887915749,0.5751591241765635,0.5216997326625146,0.6273092844488445,0.43756174408754905,0.585386929788947,0.45957569431980705
size,medium,9640,980,0.7342163374257192,0.7735014855861664,0.8977178423236515,0.5547717842323652,0.23806059056246415,0.44365521934141916,0.4137336389626055,0.48366700516331823,0.6793851246315549,0.4548031269922205,0.4814553169476615,0.4135165846699679,0.332550043018324,0.35758252229605153,0.2720141734416634,0.5145566481569226,0.5530344760353496,0.5070874839068295,0.4131983001562168,0.5582111239117781,0.36711382036219414
size,large,10824,1084,0.8217138138318163,0.8565875589847565,0.9767184035476718,0.7642276422764228,0.3868703151190236,0.5766398100152617,0.36381139367018006,0.4118865222170225,0.5927408464778916,0.4401024319103003,0.4316541106790242,0.3242086580943297,0.32951577530991644,0.3397197176289635,0.22545410375834182,0.5185090518407993,0.5285915260418106,0.42019040874737995,0.4355593347109642,0.5261761007364777,0.32749917916228116
class,LC,5676,588,0.781861598864644,0.8225573301315308,0.9335799859055673,0.687984496124031,0.29565350965619736,0.5158625039019736,0.364356332292651,0.43303722192361016,0.6541781017498839,0.41935253883214074,0.4122320469380248,0.3566344898186594,0.32257944733406074,0.3433197920742959,0.23752104902284918,0.4778120682816455,0.47361638977262094,0.46596028883361956,0.3927482178828692,0.475391239657781,0.34919808632186394
class,TC,4128,418,0.7150919721821682,0.743099570274353,0.8856589147286822,0.48667635658914726,0.195914005923838,0.42518680569867756,0.4127070881829145,0.473348141969694,0.6938328128649482,0.4023661351962228,0.4362799585723466,0.3080977842079771,0.2776095056667893,0.2916282944693994,0.18226003372579797,0.46601818998922273,0.5053798475327141,0.4156119290245615,0.3946826186124562,0.4875527123176395,0.3146384660344519
class,AC,2215,222,0.8010843967947411,0.8381537795066833,0.9742663656884876,0.6975169300225733,0.41929567963802267,0.5789292035751334,0.3904887426047942,0.42974843242740196,0.6098283860779461,0.4600786310185039,0.475359887958088,0.34112516367018514,0.41300071629254176,0.4194016274306157,0.2659493888038109,0.48018019620855057,0.5324773098640848,0.401212353543686,0.3347595428663396,0.5018993544198711,0.23773140332396595
