dimension,value,gt,mean_positive_candidates,mean_best_iou,mean_top_score_iou,mean_best_minus_top_score_iou,quality_gap_gt_010_rate,high_iou_low_score_rate,pred_score_mean_within_gt_spearman,pred_score_weighted_pairwise_accuracy,mean_top_pred_score_iou,target_score_mean_within_gt_spearman,target_score_weighted_pairwise_accuracy,mean_top_target_score_iou,dfl_peak_mean_mean_within_gt_spearman,dfl_peak_mean_weighted_pairwise_accuracy,mean_top_dfl_peak_mean_iou,dfl_margin_mean_mean_within_gt_spearman,dfl_margin_mean_weighted_pairwise_accuracy,mean_top_dfl_margin_mean_iou,dfl_neg_entropy_mean_mean_within_gt_spearman,dfl_neg_entropy_mean_weighted_pairwise_accuracy,mean_top_dfl_neg_entropy_mean_iou,dfl_neg_variance_mean_mean_within_gt_spearman,dfl_neg_variance_mean_weighted_pairwise_accuracy,mean_top_dfl_neg_variance_mean_iou
overall,all,2612,9.12136294027565,0.821047193792921,0.7239668600168151,0.09708033377610598,0.34571209800918834,0.2821592649310873,-0.04728960076209392,0.4292794774995947,0.7239668600168151,0.5703710647526489,0.8353753155615258,0.7995295522358,0.004403997615078379,0.49665331079046715,0.7161265585908829,0.003463625722697121,0.49757972994881533,0.71558906206081,0.0165080660008479,0.49327188086249624,0.7184491277926218,0.02011635782607301,0.4945920281631424,0.721440329180052
size,small,548,6.133211678832117,0.6706412841572705,0.5942840421577427,0.07635724199952788,0.2591240875912409,0.17153284671532848,0.43053943384604704,0.7327846364883402,0.5942840421577427,0.8523293339926606,0.9599451303155007,0.6622610924439165,0.07057404852996034,0.5344307270233196,0.5073407562806468,0.016250683184550918,0.5027434842249657,0.49623412476261114,0.1683275642193478,0.5851851851851851,0.5299717295119525,0.2427686541914999,0.6334705075445817,0.5492604176622619
size,medium,980,9.83673469387755,0.8316400144781385,0.7109831894006656,0.1206568250774729,0.42959183673469387,0.35816326530612247,-0.15983788320523012,0.391342843089031,0.7109831894006656,0.5633399593603673,0.836940482046237,0.8070131012371609,-0.020246488205671872,0.491588785046729,0.7220762296028588,0.004669140383426098,0.5032464338416134,0.7250414643246604,-0.047770341902994964,0.474028529267093,0.7167757574392825,-0.06258083752981711,0.4652238071815052,0.7152059098211478
size,large,1084,9.985239852398523,0.887506118339806,0.8012640753217949,0.08624204301801115,0.31365313653136534,0.2693726937269373,-0.1654993530454785,0.33663302693321334,0.8012640753217949,0.4469331560198719,0.7749566111718198,0.8621580005241936,-0.003770706538234214,0.4855691971459793,0.8162962468512823,-0.0035125237616012517,0.4877547084913544,0.8179351427073408,0.004732152841008928,0.4753487176190782,0.8152438853609606,-0.007614494976118591,0.4678922671466221,0.8141195934637007
class,LC,588,9.653061224489797,0.8536396191841891,0.748849411412668,0.10479020777152104,0.3792517006802721,0.34183673469387754,-0.1738793225071098,0.3540067546822229,0.748849411412668,0.502366844133568,0.8127110838194658,0.8308666161939401,-0.027840398595115577,0.4839832156381128,0.7619114437831097,-0.018461755511498226,0.48828164977996114,0.7631512680629484,-0.031523764971449354,0.46771057210111555,0.7611993618284155,-0.04099411166306534,0.4593183911575069,0.7596186746900179
class,TC,418,9.875598086124402,0.8108497414221033,0.6899148710773875,0.1209348703447159,0.46411483253588515,0.3708133971291866,-0.1753624764390314,0.3968132707628506,0.6899148710773875,0.5727676629590505,0.8417548837716905,0.7852542782514289,-0.012017647424345987,0.5055112954272618,0.7020623443478887,0.02469241285030758,0.522972825493834,0.7061561366552086,-0.037920213757534335,0.4880497653606897,0.6964506456476934,-0.0661421114770397,0.4732074648041035,0.694276184110978
class,AC,222,9.977477477477477,0.8681415622835761,0.77133988320559,0.09680167907798612,0.36936936936936937,0.2882882882882883,-0.2468117468117468,0.24292007551919445,0.77133988320559,0.4165867165867165,0.7026431718061674,0.8337383640779031,-0.03249775749775749,0.4166142227816237,0.791319943897359,-0.03322413322413322,0.4326620516047829,0.7923985141086148,-0.026173901173901174,0.4106356198867212,0.7916382356538428,-0.04762392262392262,0.4134675896790434,0.7879097785230156
class,P,115,6.521739130434782,0.7475638655864674,0.6515892491392468,0.09597461644722068,0.30434782608695654,0.30434782608695654,0.1903367465867466,0.5136129506990434,0.6515892491392468,0.670772977022977,0.8469462840323767,0.728277771304483,0.05554029304029306,0.5540838852097131,0.6338169809916745,0.03318140193140195,0.5371596762325239,0.6327745881417524,0.12288336663336663,0.5835172921265637,0.6406615465231563,0.14193306693306693,0.5886681383370125,0.6440393432974816
class,MC,403,7.4987593052109185,0.7737746128798566,0.7165863615721834,0.05718825130767325,0.18610421836228289,0.13647642679900746,0.387847394335944,0.7359652299891344,0.7165863615721834,0.7451284932200964,0.9262948207171314,0.7618521266979704,0.03763700252249871,0.527345164795364,0.6177727835363808,-0.014123238932399237,0.4938428105758783,0.6084911720457467,0.13375797230759062,0.5767837739949294,0.6367735589805888,0.21438705484507012,0.6341905106845346,0.6612169971232009
class,LP,519,9.009633911368015,0.844189404551234,0.7529729138018998,0.09121649074933433,0.28901734104046245,0.23699421965317918,-0.08520255733535409,0.3766195952831562,0.7529729138018998,0.5250964662433475,0.8165671859077013,0.8233647215573084,0.0269021052723266,0.5006551171931868,0.7615294752459478,0.035206912470493956,0.5095355947008298,0.7611743123602546,0.018559843911956586,0.47852671422332216,0.7602220161285015,0.018495823425400897,0.47051972630659483,0.760990273372516
