epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,122.361,2.34487,4.98496,1.89734,0.38382,0.01848,0.03045,0.01321,1.88483,3.90526,1.45811,0.000904165,0.000301388,0.000904165,0.000301388,0.000904165,0.000301388,0.000904165,0.000301388
2,209.303,2.02142,3.97125,1.4972,0.43965,0.29901,0.22199,0.11462,1.80899,2.7275,1.39418,0.00175333,0.000584443,0.00175333,0.000584443,0.00175333,0.000584443,0.00175333,0.000584443
3,287.552,1.97046,3.28526,1.4496,0.39521,0.30342,0.28844,0.15243,1.77779,2.29115,1.37345,0.0025425,0.000847501,0.0025425,0.000847501,0.0025425,0.000847501,0.0025425,0.000847501
4,364.106,1.87561,2.92653,1.43014,0.43903,0.38572,0.35622,0.1844,1.72127,2.07914,1.36091,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
5,434.815,1.8215,2.68632,1.40966,0.49596,0.42778,0.41962,0.2215,1.65154,1.88634,1.34276,0.00236704,0.000789012,0.00236704,0.000789012,0.00236704,0.000789012,0.00236704,0.000789012
6,506.45,1.76712,2.51594,1.3784,0.53854,0.4519,0.44966,0.23581,1.61849,1.76427,1.32653,0.00227705,0.000759015,0.00227705,0.000759015,0.00227705,0.000759015,0.00227705,0.000759015
7,576.608,1.72593,2.4052,1.36848,0.58847,0.43685,0.47702,0.25704,1.58049,1.68973,1.29788,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
8,647.727,1.69486,2.34991,1.35249,0.54469,0.46618,0.4812,0.25725,1.58693,1.66894,1.29606,0.00209706,0.000699021,0.00209706,0.000699021,0.00209706,0.000699021,0.00209706,0.000699021
9,725.767,1.65417,2.25903,1.32822,0.6047,0.49323,0.52386,0.29198,1.52974,1.56657,1.26773,0.00200707,0.000669024,0.00200707,0.000669024,0.00200707,0.000669024,0.00200707,0.000669024
10,803.49,1.63393,2.19597,1.31932,0.57935,0.51897,0.53821,0.3011,1.48937,1.52524,1.25704,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
11,877.872,1.61509,2.13836,1.30935,0.6051,0.49852,0.54234,0.29601,1.49402,1.54703,1.2591,0.00182709,0.00060903,0.00182709,0.00060903,0.00182709,0.00060903,0.00182709,0.00060903
12,948.23,1.60181,2.10172,1.2954,0.63537,0.51044,0.55542,0.31439,1.47141,1.47281,1.23215,0.0017371,0.000579033,0.0017371,0.000579033,0.0017371,0.000579033,0.0017371,0.000579033
13,1009.87,1.57902,2.05266,1.2847,0.59659,0.49869,0.51858,0.2904,1.46378,1.55684,1.24331,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
14,1075.5,1.57514,2.02037,1.28248,0.65356,0.51524,0.56288,0.32005,1.44876,1.44634,1.2248,0.00155712,0.000519039,0.00155712,0.000519039,0.00155712,0.000519039,0.00155712,0.000519039
15,1141.46,1.55417,1.97246,1.27281,0.62168,0.5444,0.57434,0.32633,1.42981,1.43775,1.22667,0.00146713,0.000489042,0.00146713,0.000489042,0.00146713,0.000489042,0.00146713,0.000489042
16,1203.07,1.55152,1.94491,1.26382,0.63562,0.51125,0.56576,0.32402,1.41763,1.43194,1.21107,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
17,1265.69,1.53036,1.92915,1.26023,0.62661,0.52934,0.57378,0.32729,1.42185,1.4225,1.21762,0.00128714,0.000429048,0.00128714,0.000429048,0.00128714,0.000429048,0.00128714,0.000429048
18,1335.2,1.51086,1.88945,1.25172,0.68401,0.54882,0.60316,0.35079,1.39281,1.36323,1.21077,0.00119715,0.000399051,0.00119715,0.000399051,0.00119715,0.000399051,0.00119715,0.000399051
19,1396.53,1.5152,1.85643,1.24661,0.66949,0.5369,0.59221,0.34423,1.39372,1.35568,1.2007,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
20,1457.84,1.5004,1.83959,1.23854,0.6342,0.57258,0.60411,0.34899,1.37981,1.33605,1.19299,0.00101717,0.000339057,0.00101717,0.000339057,0.00101717,0.000339057,0.00101717,0.000339057
21,1526.89,1.42495,1.81742,1.22304,0.66553,0.5664,0.61448,0.35932,1.37538,1.33391,1.19252,0.00092718,0.00030906,0.00092718,0.00030906,0.00092718,0.00030906,0.00092718,0.00030906
22,1587.46,1.39685,1.76689,1.2108,0.671,0.55298,0.60344,0.35054,1.38019,1.35934,1.19523,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063
23,1647.92,1.38949,1.73845,1.2023,0.6605,0.55892,0.60584,0.36019,1.36724,1.33308,1.18997,0.000747198,0.000249066,0.000747198,0.000249066,0.000747198,0.000249066,0.000747198,0.000249066
24,1710.44,1.37149,1.70622,1.1904,0.65802,0.5712,0.60845,0.35802,1.37526,1.32646,1.18599,0.000657207,0.000219069,0.000657207,0.000219069,0.000657207,0.000219069,0.000657207,0.000219069
25,1776.24,1.35612,1.66468,1.18309,0.70277,0.56563,0.63382,0.36946,1.3609,1.29493,1.18088,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
