dimension,value,positive_candidates,unique_gt,mean_iou,median_iou,iou50_rate,iou75_rate,mean_pred_score,mean_target_score,pred_score_iou_pearson,pred_score_iou_spearman,target_score_iou_spearman,dfl_peak_mean_iou_pearson,dfl_peak_mean_iou_spearman,dfl_peak_mean_partial_pearson,dfl_margin_mean_iou_pearson,dfl_margin_mean_iou_spearman,dfl_margin_mean_partial_pearson,dfl_neg_entropy_mean_iou_pearson,dfl_neg_entropy_mean_iou_spearman,dfl_neg_entropy_mean_partial_pearson,dfl_neg_variance_mean_iou_pearson,dfl_neg_variance_mean_iou_spearman,dfl_neg_variance_mean_partial_pearson
overall,all,23794,2611,0.7444710167317599,0.7990370690822601,0.8870303437841472,0.6047322854501135,0.2854964851327632,0.4839444467798323,0.454264355820894,0.5297726544970119,0.7133180414599952,0.3457512755172808,0.372126517114972,0.3775562370647797,0.23085325315014923,0.2699697998566241,0.23466073732269488,0.4087670773409191,0.42813137095280185,0.49029555298681815,0.3746928483532155,0.45131140723745455,0.37668310899916496
level,P3,9717,1593,0.6779293507754303,0.7258948683738708,0.8090974580631882,0.4521971801996501,0.19211266997770182,0.3922697745690011,0.438446885663709,0.5145171850195263,0.7410947573683767,0.2563996285608381,0.2797825432383513,0.4115299327058726,0.1364147367558794,0.1680914017110643,0.25626069282902975,0.32118869467290134,0.3319422980989359,0.5111102530877176,0.31773603454869925,0.38792138546291244,0.3881679051922137
level,P4,8962,1839,0.7705078290977437,0.8212317824363708,0.9227850926132559,0.6711671501896898,0.3173061630183226,0.517998892062092,0.42581948998771885,0.4963584338108589,0.6762746922360775,0.33244386098248613,0.35184278367880584,0.39044518513838344,0.22285687515158203,0.246679160947851,0.25390742682651285,0.4069676551108892,0.4305676542578102,0.5192153555499617,0.3951434146712732,0.46618048182092814,0.3942661603772613
level,P5,5115,824,0.8252615261498842,0.8659237027168274,0.9724340175953079,0.7781036168132942,0.40716455916039745,0.5984325897423024,0.32799496647009185,0.36033586116566046,0.5980111554321599,0.3477437294716578,0.3569145966431908,0.3292928526000327,0.27173599110037405,0.2902088322801819,0.23692205576779912,0.426360230469835,0.4499401209755856,0.4478450172711163,0.36306176962234654,0.4503331693166406,0.3564019032042405
size,small,3332,547,0.5173801320916912,0.5366896390914917,0.5480192076830732,0.2187875150060024,0.14984333452147441,0.2631911515984077,0.5419356449180819,0.635686517228222,0.8215789824821796,0.46835137499086016,0.4044909325977431,0.5242343296488129,0.2934877623244506,0.2596374478460805,0.3606638503929099,0.5966403414586599,0.5381091922672027,0.6468669361869427,0.45584657844496074,0.6040934494357924,0.4687463554706069
size,medium,9636,980,0.7370927329714483,0.7765653133392334,0.9048360315483603,0.564134495641345,0.2316755032677872,0.45318302427101637,0.41743115113397766,0.4824701868687772,0.6853946245583383,0.456434085007801,0.4767450832974055,0.4216618772965111,0.3299483002778397,0.3476719964543216,0.2739025216119464,0.5167149241610735,0.5447625596578964,0.5150787173107013,0.4253448398618683,0.5515075577587704,0.3816459228268449
size,large,10826,1084,0.8209317566112232,0.8553351163864136,0.9755218917421024,0.7596526879733974,0.3751524318432494,0.5792674697651876,0.37027445520639307,0.41248399604002145,0.6058178038232689,0.4393670912522221,0.43017096777651453,0.3209475303995163,0.32298919540032384,0.33339656883638386,0.21564827083820462,0.5191700633353239,0.5347325774976833,0.41788318692642457,0.43721633903442125,0.5399750009900977,0.3291134265864924
class,LC,5673,588,0.7859812534422276,0.8254978656768799,0.942182266878195,0.6902873259298431,0.2951183060289236,0.5295539056744422,0.3682232020454601,0.42262084454034515,0.6593495262228335,0.4051496796430071,0.39243635582199404,0.34507884170626646,0.30725527297152516,0.32498232751496015,0.22477333572107888,0.46314994971635876,0.45568267065542994,0.4528461402778593,0.39332495096014236,0.46151246859132466,0.34859483472062164
class,TC,4126,418,0.7115731294937495,0.7426921129226685,0.879786718371304,0.4840038778477945,0.18128850977791136,0.4338015258332784,0.43411404418807925,0.5001082240460675,0.7240705899932038,0.41310490101784697,0.45237537067609956,0.32098311480838043,0.29261325763185253,0.30299600491442896,0.2072646000988563,0.4705211586165847,0.5233475797004935,0.4133815918434044,0.38947393835212385,0.5087866808185626,0.3073557164088192
class,AC,2216,222,0.8014850634745312,0.8365874290466309,0.9756317689530686,0.6926895306859205,0.3995818194650977,0.5821854857651886,0.36243979840761326,0.40109095356360286,0.58884567669713,0.4637011557984612,0.47490837685179965,0.3607775504476162,0.4039972841078927,0.4137124728746507,0.2668959814702042,0.4905159712169202,0.5495457583958216,0.4265497772752225,0.3687600043765028,0.5272675745772878,0.2933456957901569
class,P,750,115,0.6666738437910875,0.7488727271556854,0.788,0.49866666666666665,0.18040553394771996,0.39304375313645856,0.36414666248416916,0.48182640680250094,0.7056544598301507,0.33526605040217655,0.2509671039483953,0.5350475931756501,0.21556711664217734,0.18652427826538356,0.39350252617187415,0.40698552546600497,0.27323808931215876,0.647930929030103,0.4437905345719049,0.3040473174174531,0.4823274784946971
class,MC,3006,403,0.6596271514479587,0.7458751797676086,0.7534930139720559,0.49367930805056554,0.28989526297158874,0.3917429629908315,0.6142954631361189,0.7042609664443169,0.8097653817141719,0.3473559694110168,0.19268445587232094,0.40226117865928335,0.16070134371759234,0.09248696570720882,0.22706456282200677,0.5106779285654848,0.2655658831595379,0.5883911122238801,0.4768167660997402,0.41687339732332107,0.4540265916179752
class,LP,4667,518,0.7925897629627049,0.845466673374176,0.9230769230769231,0.7201628455110349,0.37163836276672624,0.5407856344389108,0.4327815532320447,0.4849874821734251,0.6582666377643213,0.3634606671022279,0.36976446835112553,0.3393605780258535,0.2706995904597366,0.29726075042393085,0.21885823862179726,0.4242464494712844,0.43252005530456566,0.4691303245244836,0.34267145817686895,0.44342360497782624,0.3260131101501506
class,TP,3356,347,0.7035664673850243,0.7560064196586609,0.8358164481525626,0.5131108462455304,0.22177054942874527,0.4274785489318455,0.4769452094260145,0.5506821001352478,0.7462292534470549,0.33089920511361953,0.36973140765953943,0.28197765073976433,0.1857802937174472,0.21349931823250765,0.14026263325200877,0.43144281735072987,0.46403985975345746,0.42008765977630386,0.40771471210985594,0.47815052180781575,0.36305191892905253
