epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,107.372,2.34145,5.03969,1.89898,0.38245,0.01233,0.02354,0.01041,1.85379,4.0162,1.46945,0.000904165,0.000301388,0.000904165,0.000301388,0.000904165,0.000301388,0.000904165,0.000301388
2,201.276,2.00883,4.0447,1.50274,0.43098,0.26448,0.19206,0.09547,1.8399,2.95859,1.40359,0.00175333,0.000584443,0.00175333,0.000584443,0.00175333,0.000584443,0.00175333,0.000584443
3,282.846,1.95477,3.37552,1.44806,0.35258,0.33199,0.28366,0.14252,1.78019,2.41888,1.3957,0.0025425,0.000847501,0.0025425,0.000847501,0.0025425,0.000847501,0.0025425,0.000847501
4,365.777,1.87088,2.9912,1.4336,0.43235,0.30921,0.30465,0.15965,1.75975,2.2323,1.38723,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
5,452.493,1.81696,2.75296,1.41004,0.49606,0.40445,0.39795,0.20641,1.67379,1.97842,1.33153,0.00236704,0.000789012,0.00236704,0.000789012,0.00236704,0.000789012,0.00236704,0.000789012
6,535.082,1.74885,2.58677,1.38177,0.57886,0.42339,0.45528,0.24709,1.58973,1.82153,1.32929,0.00227705,0.000759015,0.00227705,0.000759015,0.00227705,0.000759015,0.00227705,0.000759015
7,616.336,1.7072,2.46286,1.35633,0.57072,0.4412,0.45903,0.2469,1.56861,1.77398,1.29607,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
8,699.025,1.66961,2.4078,1.3406,0.5489,0.47389,0.48676,0.26765,1.51839,1.72634,1.26514,0.00209706,0.000699021,0.00209706,0.000699021,0.00209706,0.000699021,0.00209706,0.000699021
9,781.197,1.6361,2.30886,1.32109,0.61308,0.45044,0.49886,0.27837,1.50333,1.64267,1.25156,0.00200707,0.000669024,0.00200707,0.000669024,0.00200707,0.000669024,0.00200707,0.000669024
10,864.177,1.61885,2.24321,1.31301,0.64408,0.47447,0.52664,0.29283,1.49798,1.64584,1.25735,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
11,947.683,1.60697,2.20337,1.30603,0.5968,0.49051,0.52806,0.29078,1.49509,1.57462,1.24744,0.00182709,0.00060903,0.00182709,0.00060903,0.00182709,0.00060903,0.00182709,0.00060903
12,1028.11,1.58675,2.15831,1.29239,0.61169,0.51601,0.53838,0.30097,1.4643,1.56638,1.23863,0.0017371,0.000579033,0.0017371,0.000579033,0.0017371,0.000579033,0.0017371,0.000579033
13,1109.6,1.56688,2.11736,1.27939,0.63617,0.52078,0.55078,0.30672,1.44403,1.53997,1.23075,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
14,1192.72,1.5631,2.08679,1.27847,0.64158,0.51342,0.55423,0.30724,1.45939,1.54562,1.23457,0.00155712,0.000519039,0.00155712,0.000519039,0.00155712,0.000519039,0.00155712,0.000519039
15,1275.45,1.5413,2.04499,1.26619,0.59846,0.53779,0.55244,0.31564,1.43522,1.52269,1.22996,0.00146713,0.000489042,0.00146713,0.000489042,0.00146713,0.000489042,0.00146713,0.000489042
16,1357.76,1.53888,2.01277,1.26172,0.60437,0.52399,0.5434,0.30734,1.41338,1.5253,1.21109,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
17,1446.05,1.51576,1.9937,1.25693,0.65114,0.52494,0.5702,0.32877,1.40103,1.47395,1.21606,0.00128714,0.000429048,0.00128714,0.000429048,0.00128714,0.000429048,0.00128714,0.000429048
18,1527.77,1.50074,1.95503,1.25242,0.66172,0.54933,0.59991,0.34906,1.39066,1.43582,1.2057,0.00119715,0.000399051,0.00119715,0.000399051,0.00119715,0.000399051,0.00119715,0.000399051
19,1630.11,1.49996,1.92626,1.24542,0.6802,0.5357,0.59452,0.34546,1.3804,1.42577,1.19581,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
20,1719.66,1.48893,1.90798,1.23588,0.65911,0.55296,0.601,0.34846,1.36885,1.4258,1.19962,0.00101717,0.000339057,0.00101717,0.000339057,0.00101717,0.000339057,0.00101717,0.000339057
21,1810.83,1.40895,1.8835,1.21601,0.66164,0.5626,0.60696,0.35209,1.38043,1.4288,1.19406,0.00092718,0.00030906,0.00092718,0.00030906,0.00092718,0.00030906,0.00092718,0.00030906
22,1896.41,1.38835,1.8347,1.20364,0.70422,0.55908,0.62119,0.35912,1.36536,1.40433,1.18939,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063
23,1977.94,1.385,1.81447,1.20247,0.66205,0.53584,0.60199,0.34852,1.36287,1.42714,1.18549,0.000747198,0.000249066,0.000747198,0.000249066,0.000747198,0.000249066,0.000747198,0.000249066
24,2064.08,1.36242,1.78216,1.18811,0.67507,0.56352,0.61365,0.35787,1.37607,1.39304,1.18706,0.000657207,0.000219069,0.000657207,0.000219069,0.000657207,0.000219069,0.000657207,0.000219069
25,2148.87,1.3428,1.73172,1.18066,0.67574,0.58156,0.62538,0.36826,1.36004,1.37314,1.19024,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
26,2228.38,1.33932,1.7085,1.1817,0.72307,0.53666,0.6267,0.3685,1.35223,1.36954,1.18482,0.000477225,0.000159075,0.000477225,0.000159075,0.000477225,0.000159075,0.000477225,0.000159075
