dimension,value,gt,mean_positive_candidates,mean_best_iou,mean_top_score_iou,mean_best_minus_top_score_iou,quality_gap_gt_010_rate,high_iou_low_score_rate,pred_score_mean_within_gt_spearman,pred_score_weighted_pairwise_accuracy,mean_top_pred_score_iou,target_score_mean_within_gt_spearman,target_score_weighted_pairwise_accuracy,mean_top_target_score_iou,dfl_peak_mean_mean_within_gt_spearman,dfl_peak_mean_weighted_pairwise_accuracy,mean_top_dfl_peak_mean_iou,dfl_margin_mean_mean_within_gt_spearman,dfl_margin_mean_weighted_pairwise_accuracy,mean_top_dfl_margin_mean_iou,dfl_neg_entropy_mean_mean_within_gt_spearman,dfl_neg_entropy_mean_weighted_pairwise_accuracy,mean_top_dfl_neg_entropy_mean_iou,dfl_neg_variance_mean_mean_within_gt_spearman,dfl_neg_variance_mean_weighted_pairwise_accuracy,mean_top_dfl_neg_variance_mean_iou
overall,all,2611,9.112983531214095,0.8188645646449754,0.7237339564895151,0.09513060815546023,0.3485254691689008,0.2826503255457679,-0.057952647508376254,0.41797452318952777,0.7237339564895151,0.5726453658059268,0.8428226241583973,0.800203416135543,-0.0015139907289534378,0.4934313932484106,0.7162619596892952,-0.002751262766851232,0.4958828911253431,0.7152440510583205,0.002859403521913266,0.4877425106153377,0.7184450204221283,0.013114808029071482,0.4891031505853098,0.72173262699138
size,small,547,6.091407678244972,0.6650855492194349,0.5922207654899896,0.0728647837294453,0.25594149908592323,0.13893967093235832,0.43193373691381665,0.7313888888888889,0.5922207654899896,0.8570268708714924,0.9633333333333334,0.6576044206836106,0.06381012745554579,0.5298611111111111,0.5080646373692498,0.0016902088615235976,0.49416666666666664,0.4976404505786937,0.15315189458615755,0.5898611111111111,0.5225996653220771,0.23208033666200997,0.6315277777777778,0.5449100793969275
size,medium,980,9.83265306122449,0.832220104640844,0.7144309953007163,0.11778910934012764,0.4377551020408163,0.36020408163265305,-0.17033328915981974,0.38116214610968124,0.7144309953007163,0.5642892481667992,0.8400811720451395,0.8100872718862124,-0.007793144043750486,0.4946792714313997,0.7234946753449586,0.02018817916777101,0.508859631756088,0.7281778491273219,-0.05550313631946284,0.4669372401504652,0.722453227791251,-0.06935197455605617,0.4570877054048703,0.7194502730302664
size,large,1084,9.987084870848708,0.8843891884842922,0.798507588815865,0.08588159966842715,0.3145756457564576,0.28505535055350556,-0.18322011629207197,0.3185968600144518,0.798507588815865,0.44850281944377884,0.7894633120935427,0.8632250691581916,-0.026088840433858878,0.47454509623595875,0.8147821386251942,-0.0255467165061261,0.4794718518031925,0.8133566408689612,-0.013977811856040637,0.4670564277737634,0.8136473875973937,-0.013733207137266178,0.4642317545818827,0.8130228856777793
class,LC,588,9.64795918367347,0.8554215972267446,0.7487112263686397,0.10671037085810486,0.4013605442176871,0.3520408163265306,-0.1982487546699875,0.3240298817181988,0.7487112263686397,0.49854526181580977,0.8089852666528325,0.8340481453556188,-0.050396948941469476,0.4644117036729612,0.7642286735757882,-0.032951951017019504,0.473542228678149,0.7636725340342644,-0.04765203403902033,0.4534135712803486,0.7651400643711289,-0.05433011623080117,0.44770699315210627,0.7622104082700043
class,TC,418,9.870813397129186,0.8053773532323004,0.6854393780777347,0.11993797515456578,0.507177033492823,0.40669856459330145,-0.1700045568466621,0.40051513200257566,0.6854393780777347,0.6251688104558917,0.8669242326679545,0.785147705467409,-0.010263261459433706,0.4928096157973814,0.6991322887392991,0.018520992564054765,0.51019532088431,0.7014372634153332,-0.03651225170363926,0.47778493238892467,0.696959309698791,-0.06036268356842519,0.4616870573084353,0.692460571448029
class,AC,222,9.981981981981981,0.8601062547516178,0.7726112744426942,0.08749498030892364,0.32882882882882886,0.2972972972972973,-0.27549822549822545,0.22303921568627452,0.7726112744426942,0.36929624429624425,0.7328431372549019,0.8362579918927975,-0.04443176943176942,0.40826330532212884,0.7928348289685206,-0.0318942318942319,0.43102240896358546,0.7959640728192287,-0.0673891423891424,0.38165266106442575,0.7896138328958202,-0.05690593190593191,0.39320728291316526,0.7890537434198834
class,P,115,6.521739130434782,0.738363857632098,0.6607937266645224,0.07757013096757558,0.23478260869565218,0.26956521739130435,0.20354079882381768,0.509534706331045,0.6607937266645224,0.6461426937842032,0.820747520976354,0.72097177233385,0.07935759209344116,0.5491990846681922,0.6301517615175766,0.04252225761659724,0.5461479786422578,0.6316157489043215,0.13577962917585562,0.5606407322654462,0.6426087329245131,0.14207302131830438,0.5644546147978642,0.6465792669226293
class,MC,403,7.459057071960298,0.772335371977786,0.7113329372865612,0.06100243469122474,0.17866004962779156,0.11166253101736973,0.3692497857472477,0.7279811525915186,0.7113329372865612,0.7394884303513745,0.9275099673794853,0.762029357180554,0.05851187729360317,0.5405944182674882,0.6208103074283148,0.00500857011009295,0.5083363537513592,0.6108196413389433,0.12633495945678686,0.5860819137368611,0.6349338039792797,0.22733755246445603,0.64226168901776,0.6646875822754859
class,LP,518,9.00965250965251,0.8444160177555784,0.7559161302867313,0.08849988746884707,0.2857142857142857,0.23166023166023167,-0.08211128241309326,0.37098920597368035,0.7559161302867313,0.5226571550515212,0.8193109566760314,0.8252111562315562,-0.0035939615931453303,0.4917196510424368,0.7590725806085069,-0.0038882646528521784,0.4990388880674257,0.7594244980242492,-0.002441488759396205,0.47138843708413425,0.7590022847976924,-0.007494316548642499,0.46162945438414904,0.7590703480089493
class,TP,347,9.671469740634006,0.7893534904340502,0.6834893041647305,0.1058641862693197,0.4092219020172911,0.28530259365994237,-0.0781366459627329,0.4334763948497854,0.6834893041647305,0.6241828220089088,0.8616918178042364,0.7711839518303143,0.029047619047619044,0.5220822372975218,0.682113212503772,0.02021645021645021,0.5112834002492039,0.6812102318948043,0.007053140096618363,0.515298352485117,0.6812473121032075,0.00678273417403852,0.5126678665374498,0.6807537967881311
