dimension,value,positive_candidates,unique_gt,mean_iou,median_iou,iou50_rate,iou75_rate,mean_pred_score,mean_target_score,pred_score_iou_pearson,pred_score_iou_spearman,target_score_iou_spearman,dfl_peak_mean_iou_pearson,dfl_peak_mean_iou_spearman,dfl_peak_mean_partial_pearson,dfl_margin_mean_iou_pearson,dfl_margin_mean_iou_spearman,dfl_margin_mean_partial_pearson,dfl_neg_entropy_mean_iou_pearson,dfl_neg_entropy_mean_iou_spearman,dfl_neg_entropy_mean_partial_pearson,dfl_neg_variance_mean_iou_pearson,dfl_neg_variance_mean_iou_spearman,dfl_neg_variance_mean_partial_pearson
overall,all,23818,2611,0.7436937702251969,0.7956680357456207,0.8862205055000419,0.5940045343857586,0.34692743714108415,0.5005817577540187,0.47191175892516646,0.5230241330671707,0.7143856072399392,0.3347431625229358,0.3635233796903006,0.3189313879738296,0.23034474931012072,0.2668820736547248,0.19966949136991363,0.4026433300077807,0.4408349131097237,0.426862644481776,0.3280199232206429,0.4625838465594741,0.30461043015793504
level,P3,9512,1561,0.6851115066740627,0.7276326715946198,0.8228553406223718,0.45574011774600504,0.23159180039199406,0.4082994150323965,0.4597744738821788,0.512841024813039,0.7324751550067597,0.21859465860385685,0.24947891797224186,0.3446223979524452,0.10653434964737206,0.1414051002857076,0.21636545227682813,0.28978673353430034,0.3152974611190441,0.43980510195863526,0.2685757806998476,0.3699520626873182,0.3061528516378946
level,P4,9054,1847,0.7606356980930263,0.8177824318408966,0.906450187762315,0.6419262204550475,0.38515596856884543,0.5316588403428901,0.44701075194391765,0.4998532796950553,0.6942914435296402,0.3358948328765952,0.35882777479609607,0.3458945883210278,0.22888983723133088,0.2564948709802028,0.2241186069189836,0.41646488261895176,0.46211708801210644,0.46795661450851284,0.32889779160080873,0.48560407410532413,0.3125321407714963
level,P5,5252,795,0.820586815918849,0.8632903695106506,0.9661081492764662,0.7618050266565118,0.4899113391232617,0.6141418754631637,0.32768269132392164,0.3538641168199576,0.6230209905563104,0.3948536209811762,0.37893284963191814,0.3264624384201212,0.31197516419125787,0.3171176728364582,0.24038879541861102,0.48192313228642125,0.4785763806384494,0.4419985847491476,0.402048987455784,0.4829305041269134,0.3466208272631822
size,small,3371,547,0.5267498120884498,0.544781506061554,0.5600711954909522,0.23316523286858498,0.18377069513189823,0.2820774936160928,0.5730619536031427,0.6711866011541924,0.8476308511976929,0.43738080991056283,0.3745826484580199,0.4608322417080397,0.27683339237832144,0.23853965749079653,0.31484271710828676,0.5684895940856369,0.5045398641316986,0.5876893242918345,0.4351904851380614,0.5693662698058529,0.4198797937670888
size,medium,9633,980,0.7400353701513922,0.7759469747543335,0.9094778366033427,0.5583930239800685,0.2825467313282235,0.4712605128743426,0.4292520040452036,0.4725986433572189,0.6694010243685233,0.41571404229266656,0.4413494677558498,0.34787351783212017,0.2959750765464105,0.3183440209406783,0.21904443648849456,0.48784222423410095,0.5334721789036949,0.449890980685373,0.3607536738447161,0.5440501146118298,0.2970948548819912
size,large,10814,1084,0.8145796081010925,0.8542612195014954,0.9671721842056593,0.7382097281302016,0.4551372315195061,0.5948141811250995,0.36258731753822343,0.401785903604823,0.6319470939370829,0.43480684945280246,0.4298524631452871,0.3071217470898916,0.3395684129942202,0.34941020020721697,0.22753663903225593,0.5026499784389462,0.5337922490059779,0.38386282331653165,0.37796136489071724,0.535728697329827,0.25332733906601124
class,LC,5674,588,0.7803678381997681,0.819770097732544,0.9354952414522383,0.6637292915051111,0.3646629608359064,0.5418131208382865,0.3439594519417198,0.3817442831432471,0.6426645201010731,0.3774283000150153,0.3778864296623962,0.2958292008495463,0.29406814420038496,0.3141720955082123,0.19670212665201112,0.4401748593727622,0.46344347538516567,0.40593242016139186,0.332109793894746,0.45995547395426406,0.2913003982807287
class,TC,4127,418,0.7161404215063885,0.7452220916748047,0.8873273564332445,0.48849042888296584,0.25372709178208686,0.45422487398111205,0.43537469325621164,0.48365720834060305,0.6926739336453144,0.40665632820658015,0.4346997503005645,0.3129406411180798,0.2969418005515939,0.30415010175114576,0.2120513527666023,0.46363081201848855,0.516858567128995,0.3915539359333513,0.3484927386770121,0.5148336145991912,0.26179118395968576
class,AC,2213,222,0.7931342403233133,0.8210551738739014,0.9665612291007681,0.6674197921373701,0.46151440321021314,0.5837089403041945,0.38545715085117205,0.4231880191915667,0.6452370864425875,0.4909610158160124,0.5039931855625384,0.35188611593318747,0.43514992734681573,0.45103015515536204,0.273572847826197,0.5058438218594999,0.5641634268121051,0.3929927736727625,0.3240825310596008,0.5513763995498622,0.20023885982962544
class,P,756,115,0.6530120955270754,0.7123687565326691,0.7685185185185185,0.43915343915343913,0.22435000030221755,0.4099712034093686,0.43750989367251536,0.5216002408440317,0.7401939722060099,0.354158388349799,0.30139106035945246,0.4538687375353433,0.25346685640420447,0.2456267797900419,0.3472747996118405,0.4257325145978782,0.3418425818191362,0.5580109429464997,0.3901202603680766,0.3777530323866069,0.3746656684914997
class,MC,3024,403,0.6594515397510905,0.7475154101848602,0.7430555555555556,0.49603174603174605,0.3363032336616536,0.41436018386216605,0.6672000453591289,0.7318051760153225,0.833209907305177,0.35254713600105203,0.18009663765866216,0.34802969938354683,0.16831121018048287,0.0795259085217886,0.19871905277617963,0.5214645841982928,0.2534530864404861,0.5181111870145566,0.45616117206614154,0.3923998654940225,0.3607522962489382
class,LP,4663,518,0.7908494367791288,0.8461804986000061,0.9270855672313961,0.6997641003645722,0.4328195917799579,0.558455460663781,0.46030590967487395,0.49970167657403636,0.6888900022003255,0.3368556560809183,0.3685475198104731,0.25312098974832675,0.2448341322570942,0.2881631976562221,0.15255918436341728,0.4161490641156406,0.47240269964369896,0.37583760954081896,0.27842834260683125,0.48794134175469867,0.23595176950243915
class,TP,3361,347,0.7138304039747259,0.7666611671447754,0.847366855102648,0.5337697113954181,0.27394514747494103,0.4508281701528309,0.5008359987046093,0.562592291042428,0.7313293238766847,0.3016516838430994,0.359624321124987,0.2552245358810793,0.17028175174339588,0.208235103288766,0.14381374055822885,0.4071196980695353,0.4679067506428741,0.3773745043350905,0.3558990735126581,0.48714095485221404,0.2979610398752134
