dimension,value,gt,mean_positive_candidates,mean_best_iou,mean_top_score_iou,mean_best_minus_top_score_iou,quality_gap_gt_010_rate,high_iou_low_score_rate,pred_score_mean_within_gt_spearman,pred_score_weighted_pairwise_accuracy,mean_top_pred_score_iou,target_score_mean_within_gt_spearman,target_score_weighted_pairwise_accuracy,mean_top_target_score_iou,dfl_peak_mean_mean_within_gt_spearman,dfl_peak_mean_weighted_pairwise_accuracy,mean_top_dfl_peak_mean_iou,dfl_margin_mean_mean_within_gt_spearman,dfl_margin_mean_weighted_pairwise_accuracy,mean_top_dfl_margin_mean_iou,dfl_neg_entropy_mean_mean_within_gt_spearman,dfl_neg_entropy_mean_weighted_pairwise_accuracy,mean_top_dfl_neg_entropy_mean_iou,dfl_neg_variance_mean_mean_within_gt_spearman,dfl_neg_variance_mean_weighted_pairwise_accuracy,mean_top_dfl_neg_variance_mean_iou
overall,all,2611,9.122175411719647,0.8212622923898496,0.7301988775436333,0.0910634148462163,0.3209498276522405,0.2443508234392953,-0.033093225975372995,0.4313144006031666,0.7301988775436333,0.5905037203170226,0.8387785875848203,0.8003386508620639,0.014687885691386278,0.49283739633073637,0.7185791476316855,0.013105046127216488,0.49859261120884646,0.7187014713338374,0.011948119299344508,0.4867052023121387,0.7195546412087865,0.021962667178536496,0.49072631314400605,0.7247128438872255
size,small,547,6.162705667276051,0.6891849353718801,0.6151884094125828,0.07399652595929733,0.25045703839122485,0.15539305301645337,0.45624169137948667,0.7486338797814208,0.6151884094125828,0.8652763575007669,0.9647540983606557,0.6810652717294161,0.1101399256911068,0.55,0.5253295964770822,0.04295769846950949,0.5128415300546448,0.5177309704123838,0.18014665780413813,0.5901639344262295,0.5401192046633804,0.2588531547192965,0.6385245901639345,0.5627793999902999
size,medium,980,9.829591836734695,0.8344557384751281,0.7203458286137605,0.11410990986136757,0.4173469387755102,0.32142857142857145,-0.1706628235709868,0.3777731158546179,0.7203458286137605,0.5505002650410813,0.8226254785755494,0.8083437064776615,-0.014484936831875605,0.48791105050611006,0.7300451888569763,0.0105431133492358,0.5099910840719568,0.7308346632868051,-0.05039402774096651,0.46399538469607177,0.7269666862122867,-0.058155755808817024,0.45492211674621075,0.727850504736511
size,large,1084,9.976014760147601,0.8759825295902706,0.7971423406607551,0.07884018892951557,0.2693726937269373,0.21955719557195572,-0.1381384082215107,0.33417891516824594,0.7971423406607551,0.4978157115276229,0.7929568007162575,0.8532884514914667,-0.00368724842409053,0.4686264269193464,0.8057293174479061,0.0014204170713865958,0.4745952398716705,0.8091445856236223,-0.010535309565780474,0.4625083936432142,0.8033990874144205,-0.01665627385848992,0.4609415802432291,0.8035898606578142
class,LC,588,9.649659863945578,0.8467592419106134,0.7507364146639498,0.09602282724666353,0.3520408163265306,0.304421768707483,-0.16416785269524992,0.33329428303655106,0.7507364146639498,0.5096987487398446,0.7968603561387066,0.8233049421184728,-0.0493847476724189,0.44458762886597936,0.7558368592694098,-0.04242683686176836,0.45829428303655106,0.7582431014905981,-0.06214567396074244,0.43240393626991563,0.7553618657117596,-0.06732787760185019,0.42678069353327086,0.7553001610422824
class,TC,418,9.873205741626794,0.8108656484829752,0.695750082312731,0.11511556617024413,0.44019138755980863,0.31100478468899523,-0.16157490834524324,0.396387184730743,0.695750082312731,0.604654197477164,0.8451488298114065,0.7873942318002572,0.0008233393400857494,0.5002272210861168,0.7022604389142905,0.030526730048261147,0.5203362872074528,0.7075002909633532,-0.0031074587294682987,0.4868211770052261,0.7014269382920134,-0.01958770894177592,0.4785276073619632,0.7014100908181456
class,AC,222,9.968468468468469,0.8567491734887028,0.76966008852731,0.08708908496139285,0.3153153153153153,0.2702702702702703,-0.21466693966693967,0.26945885841363976,0.76966008852731,0.47440037440037436,0.7546330615270571,0.8292589442686992,0.0354071604071604,0.43550778354336545,0.780814463222349,0.04560274560274559,0.44180874722016306,0.7853274412520297,-0.02663117663117662,0.4195700518902891,0.7783088045077281,-0.04681272181272181,0.4080800593031875,0.7773145784934362
class,P,115,6.573913043478261,0.7413116328094317,0.668672493359317,0.0726391394501147,0.24347826086956523,0.26956521739130435,0.2184227721963571,0.5178571428571429,0.668672493359317,0.6687780772686434,0.8625776397515528,0.7214162597837656,0.09192804051294615,0.531832298136646,0.6285295376959055,0.06246222331127994,0.53027950310559,0.629656469238841,0.1281099403740913,0.514751552795031,0.634459160786608,0.1574777423834028,0.5364906832298136,0.6418513744421627
class,MC,403,7.503722084367245,0.7837295887561945,0.7248841576074844,0.05884543114871008,0.1761786600496278,0.12406947890818859,0.3884926100835192,0.7489937797292353,0.7248841576074844,0.7673406139315232,0.9302963776070252,0.7727181678152558,0.11080283353010627,0.5653128430296378,0.631718465027679,0.05102813852813853,0.5237833882180754,0.6209404851418571,0.17468570991298266,0.6112330772045371,0.6491787477440337,0.26162272071362985,0.6706915477497256,0.6751465017054572
class,LP,518,9.001930501930502,0.8429644064093188,0.7630876568955114,0.07987674951380744,0.2548262548262548,0.1833976833976834,-0.05076950437671879,0.3876696264030826,0.7630876568955114,0.5499670336343683,0.8292846372926789,0.8242672743944588,0.00918850688389767,0.5024292176243927,0.7634974958583655,0.00264598460991247,0.5061149271234713,0.7602432008012842,-0.003146119077982797,0.4816552186295862,0.7616613035496598,-0.0012076100252452926,0.47646171888088457,0.7647821346592719
class,TP,347,9.685878962536023,0.8055672306749938,0.68911563360296,0.11645159707203379,0.4207492795389049,0.2680115273775216,-0.07420864299477015,0.43037974683544306,0.68911563360296,0.6163807772189274,0.8465367657516711,0.7810256405591277,0.0005530115356704927,0.4925330678424122,0.6989546565376544,0.021496759502539847,0.5103114777414308,0.703600279267566,-0.020122988764607264,0.4805859763902717,0.6902045598870911,-0.015396116407677091,0.47916370359835014,0.6925112170245101
